compliance_data_id,customer_id,transaction_id,transaction_amount,transaction_date,aml_check_passed,kyc_check_passed
190,190,3410,218,6315,yes,yes
191,191,6245,248,3862,no,no
192,192,6487,998,7998,no,no
193,193,7038,963,3712,yes,no
194,194,7935,425,6965,no,no
195,195,9685,824,3629,no,yes
196,196,1774,539,2127,no,yes
197,197,4582,853,8410,yes,no
198,198,3226,546,4148,no,no
199,199,8181,6,4505,yes,no
200,200,8075,224,8866,no,yes
201,201,3912,533,5073,no,yes
202,202,6668,28,7739,no,no
203,203,906,775,9547,no,yes
204,204,2239,911,8201,no,no
205,205,7258,870,5944,yes,yes
206,206,8529,587,5438,no,yes
207,207,293,209,5636,no,yes
208,208,6545,657,3023,no,no
209,209,9134,298,7531,yes,no
210,210,4774,978,8163,yes,no
211,211,9226,920,9626,yes,no
212,212,9900,85,2841,yes,yes
213,213,1305,127,9540,yes,no
214,214,5368,200,4377,no,yes
215,215,7438,563,6591,no,no
216,216,8112,299,6010,no,no
217,217,9989,786,9376,yes,no
218,218,2993,171,8901,no,yes
219,219,1163,903,4132,no,yes
220,220,9341,119,1190,no,yes
221,221,5073,416,2860,yes,no
222,222,3400,592,8750,yes,yes
223,223,1047,445,9470,no,yes
224,224,367,594,8382,no,no
225,225,1963,354,9453,no,yes
226,226,7298,746,6555,no,no
227,227,1363,548,6173,no,yes
228,228,1042,14,6661,no,no
229,229,8673,711,4940,yes,no
230,230,3457,9,2082,yes,no
231,231,7907,94,7715,yes,yes
232,232,8651,867,9591,yes,no
233,233,8387,511,5197,yes,yes
234,234,4934,437,1931,no,yes
235,235,7499,508,3766,yes,no
236,236,9935,810,2857,yes,yes
237,237,6606,441,3980,no,yes
238,238,6442,837,9208,yes,no
239,239,5467,770,6955,yes,no
240,240,3317,920,3935,yes,yes
241,241,1383,368,8610,yes,yes
242,242,1294,90,8861,yes,no
243,243,3131,352,3601,no,yes
244,244,7588,18,4021,no,yes
245,245,6583,740,1748,yes,yes
246,246,8266,623,1587,yes,yes
247,247,1692,701,2746,yes,yes
248,248,6564,235,5006,no,yes
249,249,6584,422,8238,yes,no
250,250,1482,725,9291,yes,no
251,251,4453,210,1562,no,yes
252,252,9107,442,3644,no,no
253,253,4989,454,3580,yes,yes
254,254,9790,819,6551,yes,yes
255,255,152,326,2593,no,no
256,256,3269,881,5737,no,no
257,257,590,473,1480,yes,no
258,258,9840,770,8262,no,no
259,259,4990,1,1095,no,yes
260,260,97,584,3162,yes,no
261,261,2212,224,4160,no,yes
262,262,4602,391,7248,no,yes
263,263,2300,408,6125,no,no
264,264,7841,811,2504,yes,no
265,265,6537,133,5962,yes,no
266,266,2466,385,5253,no,no
267,267,6731,220,5687,no,yes
268,268,435,290,6942,yes,yes
269,269,5771,682,8877,no,no
270,270,1398,328,2965,no,yes
271,271,9314,464,7141,no,no
272,272,1481,568,6982,no,yes
273,273,8087,351,8365,no,yes
274,274,9553,794,1359,no,no
275,275,9406,563,8503,yes,no
276,276,4023,937,8242,yes,no
277,277,4968,496,6740,yes,yes
278,278,3283,266,2523,no,yes
279,279,8508,35,3685,yes,yes
280,280,6829,281,1830,no,no
281,281,165,708,2727,no,no
282,282,3240,945,5235,yes,no
283,283,5923,434,3067,no,no
284,284,923,906,2325,yes,no
285,285,5803,59,2144,yes,yes
286,286,89,757,4240,no,no
287,287,1244,993,2428,yes,yes
288,288,2592,340,6394,yes,yes
289,289,8125,636,8566,no,yes
290,290,4538,545,5088,yes,no
291,291,957,264,7961,no,no
292,292,1531,883,3011,yes,yes
293,293,1260,750,3275,no,no
294,294,7285,524,2826,no,no
295,295,7090,673,7981,yes,no
296,296,4684,358,1776,yes,no
297,297,7991,564,5454,yes,no
298,298,2952,345,6114,no,no
299,299,6048,410,4889,no,no
300,300,7613,812,8152,no,no
301,301,2783,399,6897,yes,yes
302,302,3808,893,4665,no,no
303,303,4926,199,9377,no,yes
304,304,3786,886,7299,yes,yes
305,305,3179,185,1256,yes,no
306,306,1206,894,3965,no,yes
307,307,3669,54,6387,yes,no
308,308,1328,805,2750,no,no
309,309,362,645,1363,yes,yes
310,310,6715,841,5142,no,no
311,311,3537,496,9834,yes,no
312,312,5417,951,4614,yes,no
313,313,1993,693,3589,no,no
314,314,9181,118,2867,yes,no
315,315,928,433,7526,no,yes
316,316,9339,842,8273,no,yes
317,317,8306,612,6067,no,no
318,318,5488,579,1700,no,no
319,319,4062,22,8772,no,yes
320,320,9712,344,8460,yes,no
321,321,51,617,2286,yes,yes
322,322,6561,655,7725,no,no
323,323,9572,523,8705,no,no
324,324,8951,188,6422,yes,no
325,325,1415,747,3467,yes,no
326,326,5668,61,4593,no,yes
327,327,5575,313,8385,no,yes
328,328,9311,166,2029,yes,yes
329,329,5742,3,7553,yes,no
330,330,7093,559,4700,yes,no
331,331,2168,507,2964,no,no
332,332,3768,242,8693,yes,yes
333,333,9411,546,7563,yes,yes
334,334,6442,324,3096,no,no
335,335,4443,262,6874,no,yes
336,336,2733,25,3709,no,yes
337,337,6557,315,2464,no,yes
338,338,2711,607,4821,no,yes
339,339,2839,290,5464,yes,no
340,340,8866,729,5537,yes,yes
341,341,5593,679,9616,yes,no
342,342,7544,711,6801,yes,yes
343,343,4988,635,5157,yes,yes
344,344,2765,894,9827,yes,yes
345,345,7143,788,5071,no,no
346,346,9213,736,8645,yes,no
347,347,9704,110,4950,no,yes
348,348,8901,333,8448,no,yes
349,349,5785,515,1633,yes,yes
350,350,1620,957,9906,yes,no
351,351,1602,251,7685,no,no
352,352,5690,799,5738,no,yes
353,353,6855,393,5121,no,yes
354,354,2464,950,5798,yes,yes
355,355,7840,717,8947,no,no
356,356,1301,454,6967,yes,no
357,357,5404,89,2767,no,no
358,358,4628,191,8155,no,no
359,359,9455,116,2571,no,yes
360,360,8070,518,2131,yes,no
361,361,1358,696,3168,no,yes
362,362,2883,430,5467,yes,yes
363,363,5941,360,1447,yes,yes
364,364,5462,831,3510,yes,no
365,365,4023,886,8619,yes,yes
366,366,3301,177,2220,no,no
367,367,8446,11,8421,yes,no
368,368,4303,842,8298,yes,yes
369,369,1961,911,6070,no,no
370,370,6534,469,5193,yes,no
371,371,4384,270,6734,yes,no
372,372,5226,564,6094,no,no
373,373,1933,776,8386,yes,yes
374,374,4844,576,9097,yes,yes
375,375,5678,998,4036,yes,no
376,376,1897,126,3621,no,yes
377,377,6589,333,1846,no,no
378,378,6589,516,9066,yes,yes
379,379,1953,715,4946,yes,yes
380,380,5310,489,1408,yes,no
381,381,6805,747,4591,no,no
382,382,9044,324,2511,no,yes
383,383,9362,932,4997,yes,no
384,384,3867,174,4773,yes,yes
385,385,6693,151,6960,no,yes
386,386,7,62,1177,yes,no
387,387,7800,187,7999,yes,no
388,388,2466,200,9521,yes,yes
389,389,771,872,8842,no,yes
390,390,670,76,3047,yes,yes
391,391,4609,476,5104,no,yes
392,392,2642,96,7806,no,yes
393,393,8868,659,2495,no,yes
394,394,6161,11,9435,no,no
395,395,226,568,6121,no,no
396,396,4410,248,3135,no,no
397,397,9274,237,7953,no,no
398,398,9654,426,7340,yes,no
399,399,5730,219,8191,yes,no
400,400,2736,91,3739,no,yes
401,401,6165,328,4197,no,yes
402,402,9488,864,5089,no,yes
403,403,3685,735,9373,no,yes
404,404,2463,643,7307,yes,yes
405,405,1641,109,2941,no,yes
406,406,7981,38,9271,yes,yes
407,407,519,800,1964,no,yes
408,408,812,253,1737,yes,yes
409,409,3071,32,8113,no,yes
410,410,5620,963,9427,yes,yes
411,411,3566,315,3012,yes,no
412,412,4710,538,8397,no,no
413,413,824,924,4749,yes,no
414,414,1319,34,4218,no,no
415,415,5461,301,9525,no,no
416,416,7164,278,9308,yes,no
417,417,2144,700,6104,yes,no
418,418,9278,281,6491,no,no
419,419,491,762,9494,no,yes
420,420,1829,926,5185,no,no
421,421,7597,384,2738,no,yes
422,422,611,798,5244,yes,yes
423,423,8206,137,7879,no,yes
424,424,8051,527,4862,yes,yes
425,425,4890,693,3796,yes,yes
426,426,2748,997,9023,no,no
427,427,5550,784,7151,yes,no
428,428,8069,872,4580,no,yes
429,429,8214,262,8975,no,yes
430,430,7858,494,6537,yes,yes
431,431,4608,730,5330,no,no
432,432,4076,239,2833,no,yes
433,433,6082,332,6527,no,yes
434,434,5192,466,1834,yes,yes
435,435,8282,214,9504,yes,no
436,436,584,595,1662,no,no
437,437,230,529,2646,no,yes
438,438,3286,392,7527,yes,no
439,439,2739,666,6728,yes,yes
440,440,710,726,4639,yes,yes
441,441,8401,778,8715,yes,yes
442,442,4812,963,4532,yes,yes
443,443,7155,90,7774,no,yes
444,444,5040,168,4336,no,no
445,445,4223,74,7247,yes,no
446,446,4166,949,1669,yes,yes
447,447,6965,814,5976,no,yes
448,448,8246,203,7671,no,yes
449,449,2845,41,3682,yes,no
450,450,8874,368,3119,yes,yes
451,451,4011,644,2087,no,yes
452,452,811,89,2789,yes,yes
453,453,9261,227,9610,yes,yes
454,454,1256,659,3754,yes,yes
455,455,5801,233,3831,no,no
456,456,9037,23,8715,no,yes
457,457,1354,311,7336,yes,no
458,458,7679,181,7851,no,no
459,459,5751,339,1706,yes,yes
460,460,5598,368,9937,yes,no
461,461,3617,349,4258,yes,no
462,462,7479,378,8116,no,no
463,463,8960,17,9985,no,yes
464,464,6173,228,9386,no,yes
465,465,190,621,9647,yes,yes
466,466,8886,776,7767,no,yes
467,467,724,129,7881,yes,no
468,468,4333,678,6728,yes,yes
469,469,4136,773,1055,no,yes
470,470,9238,245,5756,yes,yes
471,471,8711,152,6375,yes,no
472,472,2260,202,7965,no,yes
473,473,7837,801,6072,no,no
474,474,7453,849,1544,no,no
475,475,4257,377,8415,no,yes
476,476,9366,808,3831,yes,no
477,477,6334,384,9308,yes,no
478,478,3767,384,8910,no,no
479,479,5581,963,6368,yes,no
480,480,5095,683,8783,yes,yes
481,481,3411,938,4593,yes,no
482,482,5968,225,7105,no,yes
483,483,3462,703,9168,no,no
484,484,4479,604,8547,yes,yes
485,485,5573,692,8461,no,no
486,486,2138,478,9487,no,yes
487,487,7048,734,9702,yes,yes
488,488,3385,213,6257,yes,no
489,489,5286,120,3014,no,yes
490,490,5868,47,3696,yes,no
491,491,1369,995,7139,no,no
492,492,5916,502,2640,no,no
493,493,9105,698,3381,no,no
494,494,7436,141,8816,no,yes
495,495,5952,955,1082,yes,no
496,496,8841,888,1167,yes,yes
497,497,8091,478,5546,no,no
498,498,1895,281,6125,no,no
499,499,5326,946,9444,yes,no
500,500,3848,395,6480,no,yes
501,501,4581,25,6709,no,no
502,502,280,906,9319,no,no
503,503,9631,801,7013,yes,yes
504,504,1071,687,2389,yes,yes
505,505,5353,242,3428,yes,no
506,506,7544,843,5086,yes,yes
507,507,3490,740,5595,no,yes
508,508,150,706,7295,no,yes
509,509,1886,436,6918,yes,yes
510,510,3051,966,5889,no,no
511,511,5631,653,7715,no,no
512,512,3692,168,2802,yes,yes
513,513,3897,254,4947,yes,no
514,514,5983,24,4911,yes,no
515,515,2165,574,3659,yes,no
516,516,5463,87,1905,yes,yes
517,517,3597,139,2185,yes,yes
518,518,1832,912,4465,no,yes
519,519,126,272,7472,yes,no
520,520,3922,297,5477,no,no
521,521,7668,709,1460,yes,no
522,522,4953,766,1975,yes,no
523,523,3012,691,9001,yes,yes
524,524,4151,178,4289,no,no
525,525,2315,117,9002,yes,yes
526,526,3576,194,6442,no,no
527,527,6254,647,9363,no,no
528,528,1671,129,9027,no,yes
529,529,1263,810,2332,no,yes
530,530,9899,992,7544,no,yes
531,531,3932,550,9367,yes,yes
532,532,4467,302,5763,yes,no
533,533,157,324,6047,no,no
534,534,9180,963,6984,no,yes
535,535,4874,650,2121,no,yes
536,536,5835,122,9756,yes,yes
537,537,471,903,6442,no,yes
538,538,3092,180,5353,no,yes
539,539,9070,799,3752,yes,no
540,540,4920,138,5396,no,no
541,541,8102,498,5224,no,yes
542,542,3467,806,5334,yes,yes
543,543,4367,908,9772,no,no
544,544,7949,89,1381,yes,no
545,545,2466,275,9938,no,no
546,546,3430,518,9570,yes,yes
547,547,9406,63,4906,yes,yes
548,548,8652,855,4038,yes,no
549,549,3566,781,7725,no,yes
550,550,6350,683,6360,no,no
551,551,1536,870,6385,no,yes
552,552,6136,640,1568,no,yes
553,553,8753,526,1748,yes,no
554,554,6313,785,4708,yes,no
555,555,1689,202,8141,no,yes
556,556,9626,693,9523,yes,no
557,557,3173,10,7804,no,yes
558,558,4274,444,2863,yes,no
559,559,204,173,3901,yes,yes
560,560,4023,361,8581,yes,no
561,561,4896,578,3920,no,yes
562,562,7598,477,8357,yes,yes
563,563,729,630,9626,no,yes
564,564,3793,885,2675,no,no
565,565,4772,516,6858,yes,yes
566,566,2405,821,1697,no,no
567,567,1782,893,6128,yes,no
568,568,3802,251,3014,yes,no
569,569,9456,82,1955,yes,no
570,570,9482,746,8066,no,no
571,571,9888,343,2721,no,no
572,572,5150,18,1461,yes,yes
573,573,3228,908,8172,yes,no
574,574,9729,210,6864,yes,yes
575,575,4501,876,1166,no,yes
576,576,1189,601,8735,no,no
577,577,4254,912,9282,yes,yes
578,578,1914,789,7880,yes,yes
579,579,8515,549,5752,no,yes
580,580,8146,41,6021,yes,no
581,581,9829,197,9812,no,no
582,582,150,827,8307,no,yes
583,583,6883,598,7478,yes,no
584,584,8875,4,7108,no,yes
585,585,7565,586,1568,no,yes
586,586,720,397,2944,no,yes
587,587,3289,183,9063,yes,no
588,588,4066,79,5424,no,yes
589,589,7508,845,3411,no,yes
590,590,7182,304,3117,no,no
591,591,8798,557,7571,yes,no
592,592,1880,410,8123,no,yes
593,593,3636,474,5215,no,yes
594,594,7953,703,1168,yes,no
595,595,9635,200,5709,no,no
596,596,8575,664,6088,yes,yes
597,597,5275,993,6811,no,no
598,598,722,383,4937,no,yes
599,599,6150,385,6820,yes,yes
600,600,3485,13,6380,no,no
601,601,630,248,6235,no,yes
602,602,6910,518,3758,yes,yes
603,603,2724,741,3511,no,no
604,604,8455,272,6577,no,yes
605,605,9631,682,6796,yes,yes
606,606,4270,86,1606,no,no
607,607,1706,618,1308,yes,yes
608,608,1810,485,5727,yes,no
609,609,17,596,3974,no,yes
610,610,4382,41,5233,yes,no
611,611,3125,409,3003,no,no
612,612,5439,786,3286,no,yes
613,613,1181,10,2707,no,yes
614,614,277,509,8404,no,yes
615,615,3497,949,4321,yes,yes
616,616,9088,624,3174,no,no
617,617,7018,348,7902,yes,yes
618,618,9192,802,9158,no,no
619,619,4527,149,6460,no,no
620,620,9621,739,2712,no,yes
621,621,123,544,2498,no,yes
622,622,2224,997,2518,yes,yes
623,623,4318,548,9020,yes,yes
624,624,2389,384,1496,yes,yes
625,625,2930,856,2201,yes,no
626,626,6898,996,8821,yes,no
627,627,100,657,8456,yes,yes
628,628,3278,877,5627,no,yes
629,629,3068,829,3698,no,no
630,630,1783,405,3393,yes,no
631,631,2072,655,1582,no,no
632,632,5864,803,7879,yes,no
633,633,1378,478,7166,yes,no
634,634,3026,816,5003,no,no
635,635,1995,224,6965,yes,yes
636,636,6226,934,7020,yes,no
637,637,7344,786,6925,no,no
638,638,9409,799,8246,yes,yes
639,639,6082,462,3658,yes,no
640,640,4225,628,2850,no,yes
641,641,791,884,4889,yes,yes
642,642,3668,28,2860,no,no
643,643,6760,644,6728,no,yes
644,644,1931,417,8752,yes,yes
645,645,4968,414,1365,yes,yes
646,646,5952,694,6691,no,yes
647,647,7815,639,2150,no,yes
648,648,9769,866,4018,yes,yes
649,649,2542,659,9503,yes,yes
650,650,8659,345,1056,no,no
651,651,8631,768,1682,no,yes
652,652,2819,130,8246,yes,yes
653,653,4643,873,6458,no,yes
654,654,6873,199,2187,yes,yes
655,655,3397,871,8695,no,no
656,656,228,974,1402,yes,no
657,657,6161,500,9396,no,yes
658,658,7449,205,8727,yes,no
659,659,337,115,7544,yes,no
660,660,7471,362,2188,yes,no
661,661,3813,560,8852,yes,yes
662,662,1518,483,1519,no,no
663,663,7971,136,5279,no,yes
664,664,4700,702,8343,yes,yes
665,665,5693,280,5040,no,no
666,666,6701,822,6788,yes,yes
667,667,1707,361,3156,yes,yes
668,668,1398,991,9218,yes,no
669,669,2423,379,7283,no,no
670,670,2128,216,9026,yes,no
671,671,1554,354,7459,no,no
672,672,2558,880,6781,no,yes
673,673,4896,41,3300,no,no
674,674,5388,297,9249,yes,yes
675,675,2357,19,1621,no,no
676,676,8663,279,5015,yes,yes
677,677,2388,467,2326,yes,yes
678,678,5339,921,6436,no,no
679,679,4450,585,6946,yes,yes
680,680,7188,425,1796,no,no
681,681,8046,807,4125,yes,no
682,682,3297,191,8855,no,yes
683,683,9537,883,2520,yes,yes
684,684,9219,761,4072,yes,yes
685,685,2714,822,4949,yes,yes
686,686,4820,324,7472,yes,no
687,687,1631,569,6675,yes,yes
688,688,6279,236,5216,no,no
689,689,6825,179,8827,no,no
690,690,3894,415,1063,no,no
691,691,6611,364,5205,yes,yes
692,692,6353,618,6145,yes,no
693,693,8021,408,9957,no,no
694,694,3120,464,5136,no,yes
695,695,3740,292,4360,no,no
696,696,5684,20,5260,yes,no
697,697,2039,125,7338,yes,yes
698,698,8294,792,1489,no,no
699,699,1041,828,4378,yes,yes
700,700,3916,647,8077,yes,yes
701,701,3690,360,8153,no,yes
702,702,6374,395,8926,yes,yes
703,703,9567,543,6591,yes,no
704,704,7187,840,2916,no,yes
705,705,6287,103,3346,no,no
706,706,6796,893,8589,no,no
707,707,2159,550,5414,yes,yes
708,708,5985,151,4899,yes,yes
709,709,5921,277,5018,yes,yes
710,710,4506,106,2117,no,no
711,711,6522,138,1535,yes,yes
712,712,6090,21,4350,no,yes
713,713,6236,124,5700,no,no
714,714,2727,583,7074,no,yes
715,715,3282,346,9908,no,yes
716,716,174,770,7314,no,yes
717,717,9947,221,2604,no,no
718,718,4603,762,3990,yes,no
719,719,4710,755,1983,yes,yes
720,720,767,174,7869,no,no
721,721,2943,480,7680,yes,no
722,722,571,138,2141,yes,no
723,723,332,977,6299,no,yes
724,724,2526,633,8859,yes,no
725,725,8956,555,2930,no,yes
726,726,2056,567,5770,no,no
727,727,3481,342,4235,no,no
728,728,4928,957,6859,no,yes
729,729,3730,757,5970,no,no
730,730,3260,651,1665,no,yes
731,731,7835,204,6036,yes,yes
732,732,8422,719,3450,no,yes
733,733,3516,868,4246,no,no
734,734,6409,26,6764,yes,yes
735,735,9620,728,5546,yes,no
736,736,257,976,2280,yes,yes
737,737,5170,490,8797,no,no
738,738,9675,279,8638,yes,yes
739,739,6450,681,4487,no,yes
740,740,4366,651,3743,yes,yes
741,741,5910,895,4960,yes,yes
742,742,5196,633,8020,yes,yes
743,743,640,334,3423,yes,yes
744,744,7003,541,7798,no,yes
745,745,4554,408,8538,no,yes
746,746,1696,824,5441,no,yes
747,747,7291,594,1500,no,no
748,748,2874,264,4691,no,no
749,749,6931,202,4094,yes,yes
750,750,9367,698,7525,yes,yes
751,751,7203,412,5474,yes,yes
752,752,4153,728,8318,yes,no
753,753,6760,900,7949,no,yes
754,754,4029,161,9670,yes,no
755,755,3250,941,4328,no,no
756,756,9994,73,2676,no,yes
757,757,6217,189,9809,no,yes
758,758,939,79,8202,no,no
759,759,2077,937,2456,yes,no
760,760,7647,560,1910,yes,yes
761,761,8251,44,4356,no,yes
762,762,2050,206,3318,no,no
763,763,7747,676,7654,no,no
764,764,9824,796,9851,yes,yes
765,765,6320,725,1142,no,yes
766,766,5600,431,9971,yes,yes
767,767,6053,607,4504,no,no
768,768,4317,327,4184,no,no
769,769,7021,524,2659,yes,yes
770,770,6137,990,8682,yes,no
771,771,2435,53,3785,yes,no
772,772,5900,724,2425,no,yes
773,773,9063,21,8019,yes,no
774,774,6014,242,6403,no,yes
775,775,3226,358,9921,yes,no
776,776,5025,702,5469,yes,yes
777,777,7053,56,9905,no,yes
778,778,4681,547,4692,yes,yes
779,779,5410,289,8239,no,yes
780,780,5455,510,9638,yes,yes
781,781,9652,106,5164,no,no
782,782,2419,654,4449,no,yes
783,783,5629,893,5408,yes,yes
784,784,7599,176,7616,yes,no
785,785,3424,986,6097,no,no
786,786,732,402,6855,yes,no
787,787,5675,889,1729,yes,yes
788,788,811,905,8445,no,yes
789,789,6993,613,1547,yes,no
790,790,1122,826,5799,yes,no
791,791,5825,164,3778,yes,no
792,792,2142,383,6763,no,yes
793,793,4706,618,7149,yes,yes
794,794,5632,284,9792,yes,yes
795,795,953,194,9583,yes,yes
796,796,3270,409,5423,yes,yes
797,797,4343,928,1664,yes,no
798,798,1074,51,7246,no,yes
799,799,1002,780,2777,yes,no
800,800,1037,369,9859,yes,yes
801,801,6953,431,4443,yes,no
802,802,7629,898,1918,yes,no
803,803,3627,340,9395,yes,no
804,804,883,483,4761,no,yes
805,805,335,969,8655,no,yes
806,806,9292,453,4212,yes,yes
807,807,7342,1000,3237,no,yes
808,808,457,654,9665,no,yes
809,809,4142,611,4806,no,yes
810,810,7525,772,1205,no,yes
811,811,4987,666,3193,no,no
812,812,7081,219,9574,yes,no
813,813,1077,49,1043,yes,no
814,814,3276,340,2903,no,no
815,815,4189,137,1599,yes,yes
816,816,1561,765,4151,yes,no
817,817,275,190,5577,yes,yes
818,818,8544,503,1640,no,no
819,819,8746,89,6852,no,no
820,820,9267,538,3437,yes,no
