transaction_id,customer_id,deposit_amount,withdrawal_amount,transfer_amount,transaction_date
871222,77,3222,1563,1217,28/02/2011 16:37:46
896791,78,5382,4539,5595,28/05/1983 21:39:16
860892,79,9060,7900,8961,23/04/1992 14:42:16
786986,80,4989,1638,3250,16/02/2016 12:29:51
23711,81,4874,2926,1936,19/09/2017 10:22:10
967447,82,3372,9406,6168,11/03/2003 07:28:33
706116,83,6190,3572,2908,01/12/1996 21:08:39
945497,84,2006,9972,1406,16/11/2022 05:16:47
596500,85,4022,7862,2274,24/10/2022 03:43:07
590467,86,5621,4410,7036,18/03/2002 12:02:45
895579,87,9964,1865,2380,30/12/2003 04:04:02
364958,88,3542,7321,3776,19/09/2005 19:30:37
903452,89,2793,6393,2192,02/11/1992 00:48:37
635233,90,7524,6381,4523,01/10/1981 23:08:18
986395,91,5411,1420,7308,14/02/2007 07:05:45
225387,92,6700,7421,9172,20/08/2000 22:19:45
480344,93,4008,1580,1196,09/06/2021 16:09:24
470655,94,3271,6752,4097,09/11/2022 04:21:09
634814,95,9371,4627,3039,27/12/2008 22:30:14
231077,96,1375,9524,7287,11/08/2005 20:03:39
53151,97,4554,5130,7191,28/10/1994 07:48:24
13862,98,4157,3928,4865,21/04/2011 22:19:17
617399,99,2725,4276,6978,09/07/2011 07:29:59
7220,100,8366,5473,2052,10/12/1997 22:16:34
267219,101,6392,3454,6068,05/11/1982 13:32:32
296275,102,1262,2467,6827,30/09/1990 16:44:20
667493,103,7154,8380,5359,19/08/1989 14:17:50
6639,104,9496,3754,4550,11/02/2004 17:18:42
983335,105,6066,4867,7457,15/06/2019 02:40:05
652412,106,4384,7135,8135,13/07/1992 19:02:20
813369,107,9936,5041,3292,20/09/2006 07:57:49
846200,108,3150,9637,5782,12/01/1986 11:11:32
797971,109,8893,8947,9874,27/11/2007 23:07:41
789777,110,3862,1106,5435,11/06/2020 16:53:51
266668,111,1209,1313,7996,23/12/1998 04:51:25
650276,112,6968,8830,2996,29/04/1980 10:40:44
713279,113,5476,8335,4459,25/09/1996 00:54:57
946058,114,9664,6520,4221,21/08/2013 02:23:48
479305,115,5716,1534,6076,14/02/2023 14:31:45
677856,116,6193,6498,1936,18/02/1986 01:38:29
759165,117,7644,3275,4887,21/02/1983 14:51:15
253774,118,6419,6641,2861,09/06/1990 20:25:12
362159,119,2873,9097,3697,07/11/1982 22:17:53
52519,120,6345,3390,1824,05/11/2004 11:39:48
901610,121,1248,8993,9730,25/08/1984 12:34:24
639961,122,2379,2765,1947,22/08/2016 04:47:41
743868,123,2074,2780,9468,22/05/2008 07:01:14
661819,124,6097,3769,9582,01/11/1997 03:17:05
74349,125,2945,2067,9650,13/01/2014 21:41:21
616455,126,1273,3493,3795,22/03/1995 17:55:40
957412,127,6133,9758,7987,24/09/2011 07:25:24
190164,128,7845,7675,9235,28/12/2007 08:10:36
13192,129,5381,4615,6363,06/05/1984 11:27:32
200489,130,4702,2261,3758,05/11/2018 03:46:43
534434,131,6996,7245,5347,07/02/2000 05:42:21
274079,132,5262,9627,5200,13/09/2000 05:55:40
776782,133,9498,1583,5625,20/07/1998 16:59:38
110535,134,8067,2926,8012,30/05/1982 15:58:05
62733,135,2974,1261,6655,18/08/2001 15:04:22
220527,136,7526,7294,8376,10/12/2006 06:16:13
290427,137,5816,1499,2823,23/10/1990 16:55:48
106008,138,6274,9550,2913,08/03/1995 23:31:16
156641,139,1508,8278,2998,18/04/1994 12:12:44
458981,140,3440,4893,1679,11/01/2005 19:10:10
633639,141,9586,5339,6493,17/11/1994 09:28:22
687697,142,3383,6381,7489,22/06/1992 09:46:29
474964,143,2837,4852,9343,10/09/1998 02:22:13
269065,144,6025,6490,9857,11/07/1980 07:55:32
674123,145,7490,7865,3929,26/11/2000 15:38:32
126080,146,5470,6226,8526,07/08/2003 09:37:31
182846,147,9048,2788,1516,23/12/2015 00:47:34
494039,148,5464,4097,6079,04/05/2002 01:55:12
185437,149,6171,8127,2280,14/02/2012 01:48:52
846563,150,5569,6928,2972,25/10/2017 23:24:36
999405,151,9392,3143,7407,22/09/1980 00:44:24
413643,152,5175,7516,8780,13/07/2001 08:41:52
890189,153,2901,3777,2134,04/02/1995 07:51:12
6003,154,3937,5648,8386,20/01/2010 08:58:36
868594,155,5384,1989,6996,21/04/2009 23:30:44
147831,156,9302,1519,8767,15/08/2019 22:42:30
841501,157,2069,2312,8044,02/10/2012 18:23:56
147049,158,2004,1636,9937,24/10/1986 14:34:59
640742,159,9789,6239,7073,27/05/1988 03:35:16
922396,160,1703,9404,4200,17/09/2005 17:32:30
597357,161,8218,4015,2412,04/04/1990 13:45:16
12089,162,3011,8959,8602,28/07/1988 18:47:45
503229,163,5223,5396,8992,10/02/2014 19:54:52
233450,164,8528,6481,9995,06/08/1981 19:34:41
129081,165,3369,7955,4531,02/09/1999 09:08:46
838614,166,5541,9811,8837,10/07/1999 11:12:18
570464,167,8174,4238,4001,02/04/2014 15:08:53
593372,168,1225,6798,1435,06/07/1998 13:37:13
500241,169,4376,7016,1209,06/04/1983 19:25:50
893623,170,8170,1245,3172,26/12/2016 13:03:01
640420,171,1410,6898,6794,01/03/1994 07:47:09
497508,172,1433,4719,9081,16/01/1992 07:15:17
256087,173,4039,5508,1566,24/09/1983 08:15:16
673626,174,7685,3769,8878,07/07/2009 20:44:07
591018,175,3151,4999,8978,29/06/1985 17:03:02
742907,176,9957,4879,4507,22/07/1980 17:33:10
6354,177,8892,1757,3412,23/07/2016 17:53:06
7287,178,7532,4009,1751,23/10/1992 14:53:30
80443,179,2347,4919,3368,23/06/2011 05:51:14
504870,180,3638,2291,1564,23/09/2012 03:28:21
177102,181,5668,2542,5716,13/12/2013 11:18:40
785362,182,5866,5614,5086,01/11/1993 22:37:25
330584,183,9934,5359,1007,15/06/2006 19:44:35
824229,184,1629,5841,6628,23/11/1987 07:27:44
71929,185,2168,7328,4425,12/07/2012 05:10:34
415161,186,3955,1668,8581,18/03/2022 09:38:46
606890,187,2319,3055,8317,31/08/1997 05:45:34
704997,188,2602,8772,8444,11/08/2011 23:07:21
933285,189,6372,9950,7585,05/11/1997 07:42:33
602903,190,9643,7457,3169,07/02/2023 00:16:31
666438,191,9998,6544,8519,29/08/1994 06:57:25
685102,192,8733,3191,6088,06/09/2009 10:02:33
745927,193,7705,9897,1337,20/08/2022 10:14:26
397403,194,2031,3899,3092,18/06/2016 12:24:12
836858,195,5425,3256,9006,08/08/2017 00:26:47
219896,196,5134,6412,2999,05/03/2022 19:54:25
474051,197,4568,2626,4771,30/06/2012 10:41:48
656277,198,1096,8497,8960,08/06/2000 11:30:12
171892,199,3555,7571,5656,04/09/2010 01:54:59
664838,200,7782,4880,4760,20/05/1982 21:56:09
412402,201,5355,3118,6728,30/07/2012 18:33:34
978147,202,8299,8731,7492,19/01/2012 20:17:06
836971,203,1177,8687,3877,07/07/1995 19:36:53
213518,204,1024,3061,5683,22/05/2015 00:32:26
662886,205,5000,7371,8548,29/10/1997 12:47:29
428670,206,9568,4002,1082,01/10/2006 12:28:28
428239,207,5634,4704,6929,08/02/1989 07:45:57
843658,208,8979,3897,9955,09/11/2010 06:10:18
602300,209,2351,2668,8878,06/04/2017 23:07:55
784563,210,9066,8346,3092,20/12/1995 13:38:29
994270,211,5611,3474,3557,05/07/2012 09:42:23
668950,212,9285,3178,7995,12/08/1981 22:34:33
667319,213,1149,6877,1364,17/03/1990 05:38:10
226964,214,6550,3606,2472,27/02/1996 23:50:52
956776,215,6388,1545,1061,20/02/2004 03:08:19
594688,216,3203,8460,3107,22/08/1991 13:22:46
995394,217,9102,4063,3528,02/07/2001 05:35:04
639641,218,3610,7445,4144,12/09/2009 01:59:20
477975,219,9391,6305,3717,05/07/1997 16:54:48
282669,220,2934,1757,4280,30/09/2019 08:34:18
199642,221,7634,8819,1345,03/07/2019 03:04:53
557694,222,5888,6957,2595,19/09/2020 22:30:53
506584,223,7723,3683,4908,23/12/1983 18:46:44
876926,224,1009,9168,5145,25/10/1983 22:30:21
955585,225,9314,1869,5745,27/06/1990 11:53:10
818046,226,2179,1815,6943,16/08/1982 20:28:02
230073,227,9064,4782,2920,16/07/2014 02:02:53
702737,228,2509,3134,7144,29/06/1983 03:21:27
531489,229,6619,4209,6432,20/07/2019 21:27:29
874792,230,4818,7161,7078,23/05/1984 17:46:40
334213,231,3888,8158,8347,09/10/2000 01:33:18
580166,232,3140,6604,1264,11/10/2013 22:17:44
626812,233,8903,4368,1496,17/04/2006 17:29:23
887240,234,1867,6050,9134,13/06/2016 16:53:44
410054,235,3544,6245,6559,16/05/1982 01:38:06
648429,236,6153,6199,6218,31/07/1984 19:12:30
56918,237,5287,2609,7908,07/05/1990 16:56:29
540357,238,3034,3712,8210,21/12/2004 03:54:14
132776,239,6903,4317,6651,12/11/2002 17:54:18
606022,240,2936,7217,4206,02/02/1998 08:23:18
461133,241,1268,8154,8276,19/04/2002 23:59:25
188139,242,8463,3931,1132,04/12/2020 20:51:58
681533,243,7542,2370,2678,02/08/2017 19:23:13
477585,244,1964,8466,6464,24/01/2018 17:22:32
798435,245,1572,2538,5873,24/03/2008 11:08:20
174251,246,7227,6194,4330,12/06/2012 23:01:44
580084,247,8057,2720,8207,29/05/1989 01:41:08
630123,248,5895,9203,5432,29/07/1997 09:50:01
363144,249,6800,1560,6300,25/08/2009 01:30:14
453246,250,5170,2030,4016,17/03/1984 23:03:04
421095,251,5589,7280,1918,05/09/1991 18:37:36
889617,252,4419,5172,8392,14/12/2019 22:29:25
485264,253,4771,6942,6469,18/02/2016 09:43:18
21747,254,4723,3622,6465,22/12/2022 06:54:53
389876,255,3895,4771,7853,07/11/1980 22:03:00
718303,256,1615,7233,1298,25/12/2020 22:21:50
180276,257,6233,1317,6452,11/11/1996 11:13:44
155095,258,1246,4815,1087,07/07/2006 09:14:49
222838,259,6264,3986,1395,10/01/2006 21:58:47
22819,260,7949,2372,3919,06/03/2004 06:57:24
802781,261,4776,3425,3169,31/10/1998 00:03:29
574774,262,2030,6890,6828,27/01/2007 16:52:09
37266,263,7978,1762,3923,27/06/2018 05:35:17
187279,264,1686,7133,6918,09/03/1980 01:02:42
473210,265,8463,1665,6001,02/09/1992 22:06:35
370199,266,3031,9621,5205,16/07/1984 10:59:20
773975,267,3062,9515,5225,13/09/2012 08:51:20
168334,268,8617,8539,2352,15/04/1986 01:48:41
217347,269,4308,4045,7865,04/10/1985 09:18:44
773279,270,6276,1914,7640,24/09/2015 04:27:45
905043,271,8777,1510,9629,17/03/2000 16:31:14
453761,272,9597,9065,1153,21/07/2022 22:43:29
99403,273,2093,4114,2396,12/07/2014 22:43:54
462662,274,2949,2300,9215,21/07/1998 02:38:50
70547,275,4305,8725,8582,20/02/2005 04:18:16
58068,276,4491,6326,9901,31/10/2015 05:44:58
401300,277,7597,4451,6326,30/08/2007 21:05:53
930006,278,5857,5188,5980,14/12/1998 02:15:17
369936,279,1818,5415,4797,09/04/2018 20:30:54
99115,280,3594,8393,1040,09/07/2015 18:56:54
772929,281,7498,1417,3902,28/06/1981 03:08:56
522600,282,8085,5038,2479,11/01/1981 15:05:36
939791,283,8237,7275,3395,15/11/1982 16:58:30
945412,284,9280,5821,5244,13/04/1987 10:37:49
90144,285,2948,4739,6344,24/06/2013 10:53:59
60491,286,2463,2268,3924,31/12/1998 03:59:08
498743,287,5215,3270,9642,11/05/2017 08:02:46
144874,288,9613,7603,5509,25/08/1996 19:48:56
927419,289,1380,3897,2137,25/12/1996 22:37:02
361248,290,4687,4251,9412,07/11/1987 21:55:01
364527,291,3152,6110,9215,28/08/1985 10:08:24
885612,292,5429,9629,7017,13/09/1985 13:48:16
557971,293,7778,6905,7953,05/02/1993 11:31:11
980961,294,5321,8879,3884,14/11/2020 19:45:45
414943,295,3026,2307,2720,07/02/1989 06:31:26
108461,296,8390,6393,1661,13/04/2004 20:46:57
261834,297,4545,2154,2393,01/05/2008 23:39:44
905079,298,7705,6345,2427,03/08/2009 08:38:58
728607,299,2212,8708,2514,11/04/1988 01:38:52
335694,300,3489,5606,2396,05/03/2017 13:17:42
136811,301,2340,8459,8669,25/03/1998 18:53:34
293901,302,5036,5407,3115,09/09/2005 22:40:46
629406,303,9886,6949,9606,04/07/1981 03:53:20
400877,304,1470,8058,5805,07/12/2015 18:57:04
288283,305,4613,6438,4884,29/06/1993 13:46:51
413644,306,5664,7451,1423,06/12/1987 13:39:31
443562,307,8976,6889,2214,25/11/1990 17:50:48
429375,308,4642,5823,1522,01/12/1995 00:54:14
169928,309,5063,2915,3509,20/07/2009 18:34:10
611057,310,9963,2616,9914,26/05/1981 11:40:54
721607,311,5210,7532,2286,21/03/1987 01:34:16
136838,312,8621,2880,7515,09/02/2010 02:31:50
542043,313,1796,2988,6269,24/12/2014 05:08:18
603089,314,1594,2797,4313,30/06/2004 18:35:59
705616,315,2202,8031,9190,10/11/2017 16:09:39
653768,316,2727,1244,8655,12/08/1991 08:44:36
637053,317,6005,5260,2496,23/12/1981 15:23:53
966084,318,4816,9738,6714,28/07/2013 06:26:36
382960,319,2001,7579,2728,14/05/1993 20:41:37
336974,320,6371,4522,3607,20/03/2010 08:32:50
719338,321,6317,5725,5372,12/08/1983 23:12:37
615597,322,3059,6463,3877,29/04/2006 03:36:37
200657,323,2269,4921,2283,05/03/1981 12:51:58
917564,324,2952,1254,2541,27/07/1999 02:38:08
676211,325,7802,5167,1362,07/12/2003 17:01:12
520291,326,4109,7250,7536,09/10/1991 21:01:59
505510,327,3818,3250,2271,10/12/2003 21:54:24
226398,328,1489,8263,3431,06/10/2015 21:35:08
948529,329,1790,2105,5259,20/01/2005 04:10:16
202036,330,2585,3944,7654,29/09/2001 07:42:14
750801,331,8465,5145,1598,07/07/1985 18:42:50
707935,332,2421,5881,1246,06/05/1999 06:08:10
546351,333,2706,5021,9404,11/12/1992 00:33:34
522012,334,4918,6975,3561,17/06/1980 00:24:53
636546,335,9274,7577,4219,13/11/1995 00:23:06
591807,336,9854,8578,1440,04/11/1980 22:43:28
847525,337,9612,8745,7162,22/10/2015 16:46:45
397058,338,9352,3016,5850,13/11/2016 16:22:39
598847,339,9521,8623,2308,07/06/1996 07:05:34
403462,340,8489,6180,6923,02/05/1986 05:21:19
234147,341,9757,4226,9703,01/03/2004 19:18:19
148438,342,6459,7799,4494,19/10/1985 18:30:41
609744,343,6426,9313,6776,17/11/1981 17:53:38
478267,344,5792,9370,7328,19/12/1993 22:05:30
625105,345,3123,2757,1533,21/02/1985 18:50:58
440124,346,4859,9056,3964,02/03/2016 12:20:55
368212,347,3443,3515,6133,29/09/1985 23:20:21
726609,348,6855,3902,5056,11/11/2013 05:11:16
636855,349,4921,4784,5027,14/11/1986 17:13:01
696121,350,3028,1358,9442,04/12/1988 08:19:44
745927,351,1508,3190,1435,07/09/2000 09:38:01
674536,352,8758,4975,7944,07/12/1996 18:02:50
182415,353,5310,2476,8487,11/10/2022 01:17:05
506055,354,5030,8311,2971,11/12/2022 05:44:26
850224,355,2408,5510,8747,10/07/2011 15:27:20
806624,356,4246,6120,5628,09/12/1997 06:50:48
85258,357,8582,4305,6786,14/12/2010 15:57:25
925259,358,8821,6159,7179,10/07/1999 02:41:31
1800,359,3668,6007,9323,16/10/1997 20:26:59
21934,360,5926,8351,6694,09/10/1980 23:46:20
565521,361,3306,1494,1173,04/04/1994 01:02:05
223059,362,3618,6542,7432,06/05/1982 13:15:58
987939,363,8724,3887,1342,11/05/2019 10:06:08
635640,364,5091,3752,1672,13/01/2003 23:08:07
913132,365,2651,2360,4171,19/09/2015 00:08:21
287794,366,5316,2602,8174,05/12/1984 20:29:46
601049,367,1885,1763,1866,26/08/1981 12:19:38
187056,368,4148,9326,5532,25/09/2019 09:52:32
162142,369,7325,1101,2431,22/12/2012 09:20:32
57087,370,4501,1821,1315,30/06/2007 10:18:15
678930,371,8715,2610,1905,05/03/1997 14:40:36
478210,372,4029,4946,1327,13/01/2012 18:07:12
388596,373,6148,1388,9681,23/01/1985 05:06:47
466729,374,8341,5340,5694,30/04/2011 09:40:26
438324,375,1139,9653,8237,31/10/2010 15:07:11
796310,376,9485,2618,2357,21/07/1998 09:56:22
314101,377,4155,1095,3986,20/09/2016 04:35:04
7314,378,1748,5438,5007,13/03/1983 20:11:18
494834,379,2447,1983,9167,30/01/2009 01:16:02
890495,380,7240,2297,5922,03/09/2015 06:12:05
573528,381,3375,7033,3747,18/09/2013 04:49:09
893396,382,2184,1818,8219,12/05/1986 13:02:17
422336,383,2263,4714,3623,06/07/1981 09:31:01
636190,384,7661,1044,7991,11/08/2005 16:30:41
46227,385,2406,4209,1885,11/06/2019 02:16:57
227349,386,1779,4882,3092,10/05/2000 05:21:29
417023,387,9020,6285,8922,12/12/1983 20:18:15
441964,388,1407,3013,1076,02/12/2000 06:21:49
351930,389,9462,5474,6235,20/05/1987 16:02:02
357008,390,9863,2546,7616,17/10/1985 10:48:59
702875,391,3874,2305,2863,11/11/2009 10:05:01
125978,392,7127,5623,6644,17/06/1985 06:01:09
928505,393,6893,3999,2538,21/07/2007 09:21:20
163274,394,4095,4569,3169,10/06/2015 01:06:21
545091,395,1710,4323,4746,28/05/1984 06:18:11
40651,396,4268,6545,8205,08/09/2006 10:33:11
754209,397,2022,4845,4956,09/09/1993 13:58:32
839147,398,7827,8633,7374,16/06/1993 17:33:35
525151,399,6793,2565,8771,06/08/1981 06:43:44
16528,400,7670,1458,6519,14/05/2004 01:46:26
771555,401,3416,8320,8843,04/09/2013 02:38:02
942350,402,4510,9572,7251,01/04/2002 04:56:55
964645,403,5378,6332,8971,23/12/1990 06:24:29
6516,404,5664,2043,7067,10/11/1994 13:43:05
798500,405,7927,1405,5501,07/08/2018 14:10:12
228068,406,6422,9031,6017,28/01/1991 01:22:48
573516,407,8906,6445,7645,29/12/1993 14:25:13
979726,408,4123,8320,1875,21/09/2021 14:50:07
187091,409,7080,6679,1497,07/11/2011 00:43:45
428977,410,5511,8357,7645,24/01/2009 16:00:37
227327,411,9103,3217,5685,04/06/1990 02:44:24
986633,412,2185,6709,2496,19/08/2014 07:09:11
785297,413,6279,1501,5419,19/12/2006 17:48:25
537269,414,9973,6803,7992,28/07/2013 01:26:45
724912,415,1343,5999,8697,10/01/1984 20:16:02
651513,416,1025,6500,2645,13/05/1994 06:29:43
761864,417,2290,6594,7444,08/08/1991 04:12:05
376132,418,8516,4637,2489,26/04/2004 18:11:17
83565,419,1335,9308,6698,15/12/2016 07:45:10
843218,420,8998,3065,6969,01/11/1986 04:24:42
936487,421,3490,1877,9007,03/02/1981 05:52:26
840204,422,8157,3267,8385,30/07/1988 15:17:30
744878,423,7992,1960,3179,22/01/2022 06:08:09
195407,424,4263,7665,3024,06/08/1993 23:05:23
922904,425,6230,8754,9590,05/09/2017 10:44:41
808852,426,5289,3023,1738,14/03/1984 09:48:41
294463,427,6397,9748,3128,24/03/1999 00:31:10
30197,428,8328,8876,9013,30/01/2001 21:34:33
278997,429,4959,6365,7292,15/07/2020 00:07:12
194408,430,4158,8870,7152,10/09/2009 09:26:37
477993,431,7405,6794,5406,17/12/1992 07:13:16
42552,432,6958,6374,8344,24/11/2006 07:26:57
164771,433,5854,1495,8154,06/01/2007 04:26:48
447097,434,7721,9101,6963,26/05/1982 04:01:29
128644,435,4115,3626,2488,24/06/2001 01:36:00
725737,436,3658,4793,8140,13/04/1985 16:47:23
887170,437,8917,2958,5460,15/09/2016 00:10:38
736749,438,3697,8784,1128,11/08/2014 00:50:57
459254,439,5034,7932,1523,02/04/2001 16:30:19
262110,440,6363,9366,6004,08/09/1993 20:11:40
630069,441,1058,1586,1164,03/08/2005 16:06:21
159126,442,4883,1470,8430,03/11/2006 07:28:43
903589,443,7654,9000,7839,18/02/2011 11:36:17
763235,444,9891,5882,9549,04/11/1995 06:03:53
216559,445,3954,3047,4336,08/04/2015 19:03:01
966100,446,8015,8760,3976,12/11/2005 11:06:30
910158,447,2651,5369,3656,18/12/2022 13:52:57
580593,448,3951,9073,4653,05/04/2010 15:19:22
679793,449,5592,4810,2206,28/11/2011 06:05:20
711725,450,2695,7583,6788,22/09/2016 06:57:17
482445,451,2574,4211,2286,30/10/1988 04:58:23
422015,452,7961,6151,8758,16/10/2008 20:17:06
782066,453,9738,7836,4102,21/12/2004 19:15:05
952407,454,4872,8247,7511,21/01/2013 00:02:40
290440,455,6943,8665,8501,14/02/2013 19:44:10
167607,456,8757,3966,1325,15/09/1992 18:09:26
326541,457,6186,5649,2767,23/10/2015 01:00:47
657096,458,7357,1116,7032,19/04/2001 09:35:18
110108,459,6162,6212,4707,18/07/2007 07:25:17
837286,460,1366,2597,4690,30/07/2021 21:22:14
4389,461,6947,3304,7083,13/01/1998 18:27:51
776738,462,6913,5282,5593,16/02/1986 03:17:40
327533,463,9876,9001,7281,14/11/1998 20:34:46
683844,464,4413,2715,3055,10/08/1991 19:01:45
764883,465,2531,5383,3103,24/04/1996 03:10:45
439877,466,9008,4157,3611,06/03/1992 01:50:30
199177,467,4576,8789,1081,25/01/2012 14:42:54
281239,468,4915,2680,5444,01/12/2013 12:39:56
228265,469,7384,5251,7001,28/08/1981 05:29:58
516874,470,3067,7428,7401,06/06/1983 09:04:42
102604,471,7103,9476,5237,26/04/1990 02:29:08
189439,472,1080,9662,9935,12/11/1987 03:08:51
681269,473,1999,4747,7832,05/12/2000 01:16:00
424880,474,9563,7670,2587,19/07/2008 10:27:42
225554,475,9882,6339,6914,03/05/2018 05:34:52
682466,476,3412,3752,9986,23/07/2013 04:06:32
929365,477,7812,2041,8695,20/03/1990 01:00:08
99754,478,1088,1075,5842,20/02/2011 23:07:49
969655,479,3287,1087,9486,27/09/1980 05:03:42
622336,480,6671,1634,9961,07/02/1985 22:00:47
887585,481,3512,2713,4953,20/12/2020 10:40:47
170089,482,2442,4617,7122,17/05/2017 12:56:28
855148,483,7203,7843,1321,28/02/2002 08:12:36
364594,484,9658,9029,6171,19/11/2012 04:13:25
571457,485,8826,8383,6680,29/11/1990 16:18:21
299932,486,2217,2246,4691,30/01/1988 02:12:00
642867,487,6008,8269,2795,02/06/2021 01:36:32
576017,488,4290,9570,5769,02/05/2008 16:50:59
619412,489,1690,8320,7710,25/05/1982 14:49:01
188529,490,2388,3994,3138,01/06/2000 13:55:29
260185,491,1611,2372,8748,16/09/2014 17:04:39
437002,492,4161,2502,1325,18/11/2010 19:23:51
576421,493,9333,3151,8779,10/08/1982 22:06:14
440776,494,1762,9638,2666,04/12/2008 23:03:52
116661,495,8479,1183,7885,22/02/1996 22:33:40
894388,496,4200,4112,2357,01/11/2001 11:55:22
541387,497,1604,6439,2527,24/06/1992 13:02:37
872466,498,5393,1588,7206,20/04/1982 20:01:28
889580,499,6963,7655,1246,01/02/2004 07:25:38
509221,500,4761,2427,1550,13/03/1984 04:35:52
902851,501,8749,6721,2736,01/10/2009 15:19:37
11608,502,4021,8522,4394,20/09/1992 11:20:53
656736,503,4170,6694,6448,13/07/2004 10:03:47
509439,504,3916,6664,8084,26/02/2008 19:35:16
478884,505,4821,7963,1528,05/08/2015 06:34:02
270636,506,5798,5009,1416,28/07/2018 19:46:09
883689,507,3631,8813,1720,21/11/1991 15:08:03
190090,508,5728,9446,9284,29/10/1984 04:56:37
315085,509,5577,8474,4156,15/01/2021 00:15:12
841881,510,9181,1295,7932,03/02/1981 16:30:01
978118,511,5256,6463,4407,17/01/2023 13:29:09
183261,512,9279,3105,3159,04/05/2019 04:25:42
42360,513,7493,6899,8658,25/12/2000 16:12:27
129569,514,4450,7636,1283,01/12/2002 10:29:56
961716,515,8633,9330,2313,28/05/2015 04:05:17
