payment_id,supplier_id,payment_date,payment_method,amount
76,480,2022-07-02,Bank Transfer,885.88
77,1955,2022-11-24,Credit Card,737.44
78,8252,2022-04-20,Debit Card,510.98
79,216,2022-07-04,Credit Card,329.62
80,5807,2022-11-03,Bank Transfer,81.79
81,8671,2022-08-07,Bank Transfer,341.73
82,4706,2022-12-18,Bank Transfer,719.88
83,9297,2022-04-05,Bank Transfer,861.81
84,7761,2022-04-22,Debit Card,746.07
85,6504,2022-08-02,PayPal,558.46
86,2516,2022-07-27,Bank Transfer,705.91
87,1327,2022-07-20,Debit Card,598.22
88,8,2022-06-02,Bank Transfer,338.77
89,6517,2022-03-10,Credit Card,975.78
90,718,2022-03-24,Debit Card,783.23
91,2578,2022-03-30,Debit Card,688.25
92,3079,2022-04-20,PayPal,259.55
93,1539,2022-08-05,PayPal,319.29
94,5570,2022-09-21,Credit Card,812.72
95,8263,2023-01-20,Debit Card,349.12
96,9086,2022-09-10,Bank Transfer,958.73
97,2341,2022-05-09,Credit Card,306.19
98,8248,2022-06-22,Debit Card,233.03
99,5981,2023-01-01,PayPal,449.63
100,3136,2022-03-18,PayPal,247.72
101,2270,2022-07-25,PayPal,10.88
102,7567,2022-05-10,Credit Card,632.31
103,1251,2022-07-26,Credit Card,464.28
104,9991,2022-11-04,Debit Card,126.47
105,9600,2023-01-28,Bank Transfer,980.96
106,9047,2022-08-13,Credit Card,60.91
107,4949,2022-04-26,Bank Transfer,432.41
108,5992,2022-07-25,PayPal,404.29
109,5576,2022-10-24,PayPal,334.35
110,2930,2023-02-01,Debit Card,217.26
111,7777,2022-05-16,Debit Card,534.56
112,9554,2022-09-09,Bank Transfer,447.94
113,7736,2022-06-05,Debit Card,780.29
114,5618,2023-01-07,Credit Card,553.62
115,835,2023-01-16,PayPal,352.95
116,2426,2022-09-17,Bank Transfer,490.95
117,2112,2022-11-02,Credit Card,663.68
118,5581,2022-08-23,PayPal,718.35
119,7415,2022-11-15,Bank Transfer,725.64
120,2977,2022-03-16,Debit Card,248.56
121,9007,2022-10-29,Bank Transfer,930.52
122,711,2022-08-04,Bank Transfer,172.14
123,2522,2022-11-23,Bank Transfer,913.21
124,8670,2023-02-28,Debit Card,894.98
125,7447,2022-04-13,Debit Card,846.65
126,2459,2023-01-11,Bank Transfer,325.36
127,7447,2022-12-31,Bank Transfer,439.31
128,6288,2023-03-04,Debit Card,378.3
129,3040,2022-09-21,Debit Card,859.08
130,390,2022-10-07,Debit Card,62.12
131,7450,2022-12-09,PayPal,168.29
132,1330,2022-04-05,Credit Card,616.36
133,7174,2022-08-22,Debit Card,304.54
134,3924,2022-11-01,PayPal,22.55
135,9479,2022-07-17,PayPal,105.75
136,7100,2022-11-04,PayPal,588.53
137,8708,2022-11-02,Bank Transfer,99.73
138,9074,2022-05-17,Credit Card,546.94
139,3992,2022-06-30,Credit Card,635.15
140,9067,2022-05-02,Bank Transfer,341.8
141,130,2022-09-19,Debit Card,843.49
142,223,2022-10-12,PayPal,611.47
143,6079,2022-04-22,PayPal,90.76
144,8352,2023-02-24,PayPal,581.57
145,3916,2022-07-23,PayPal,311.5
146,7793,2022-08-11,Credit Card,474.83
147,2041,2023-03-05,PayPal,100.64
148,2651,2022-09-11,Credit Card,821.61
149,4095,2023-03-08,Credit Card,435.3
150,8788,2022-04-25,Debit Card,87.85
151,49,2022-07-17,PayPal,569.03
152,9341,2022-11-07,Bank Transfer,665.26
153,4985,2022-09-24,Bank Transfer,478.9
154,102,2022-04-29,Bank Transfer,888.29
155,2066,2022-11-20,Bank Transfer,553.11
156,2132,2022-11-24,Debit Card,567.82
157,9922,2022-04-08,PayPal,280.67
158,7131,2022-12-14,Debit Card,338.73
159,5723,2022-04-13,Credit Card,15.54
160,3683,2023-02-19,Credit Card,993.2
161,6672,2023-02-10,PayPal,887.29
162,7627,2022-04-14,Debit Card,533.33
163,6456,2022-09-17,Credit Card,895.35
164,5450,2022-11-12,Credit Card,175.25
165,760,2022-05-09,Bank Transfer,676.11
166,5118,2022-04-19,Bank Transfer,660.25
167,3098,2022-08-31,Debit Card,832.24
168,1888,2022-05-07,Bank Transfer,769.24
169,1730,2022-06-19,Debit Card,450.57
170,9764,2022-05-27,Credit Card,610.93
171,7239,2022-07-18,Bank Transfer,655.92
172,8987,2022-05-15,Credit Card,105.47
173,116,2023-02-08,PayPal,547.45
174,7671,2022-07-16,Credit Card,748.01
175,7021,2022-11-23,Debit Card,282.6
176,7067,2023-02-06,Debit Card,285.17
177,5851,2022-04-22,Bank Transfer,565.65
178,3184,2022-06-27,Debit Card,308.12
179,480,2022-09-12,Debit Card,259.8
180,5725,2022-05-13,Bank Transfer,352.7
181,5704,2022-11-21,Credit Card,666.39
182,1547,2022-11-27,Bank Transfer,647.55
183,5285,2022-08-26,PayPal,826.53
184,508,2022-06-03,PayPal,37.31
185,3738,2022-12-23,Credit Card,582.58
186,365,2022-11-15,PayPal,451.79
187,2937,2023-03-07,Debit Card,885.92
188,4814,2022-06-10,PayPal,507.52
189,9643,2022-07-30,PayPal,783.89
190,855,2023-01-01,Debit Card,341.06
191,89,2022-05-01,PayPal,393.79
192,4031,2023-01-30,Debit Card,684.08
193,7316,2022-12-01,Credit Card,355.75
194,9806,2022-08-15,Bank Transfer,469.29
195,6823,2022-09-09,Bank Transfer,822.23
196,449,2023-03-08,Bank Transfer,797.83
197,6598,2022-03-21,Bank Transfer,327.63
198,2631,2022-06-06,Bank Transfer,102.71
199,5485,2022-11-12,Credit Card,313.88
200,5821,2022-07-14,Debit Card,293.19
201,2053,2023-02-17,Debit Card,475.0
202,6435,2023-01-20,Bank Transfer,700.71
203,2349,2022-12-30,Debit Card,419.22
204,4194,2022-07-13,Bank Transfer,105.64
205,9953,2022-05-31,PayPal,741.98
206,5679,2022-05-30,Debit Card,908.5
207,5355,2022-08-20,Debit Card,116.89
208,6224,2022-05-18,Credit Card,250.38
209,3920,2022-03-29,Credit Card,690.14
210,5064,2023-02-25,Bank Transfer,280.28
211,898,2022-11-27,Credit Card,586.93
212,964,2022-10-15,Bank Transfer,957.04
213,8479,2022-04-15,Bank Transfer,276.85
214,9425,2023-01-03,Credit Card,197.11
215,2975,2022-12-23,Debit Card,751.69
216,7953,2022-12-22,Bank Transfer,400.46
217,7128,2022-04-15,PayPal,214.21
218,5821,2022-12-26,Credit Card,172.27
219,1879,2022-08-08,PayPal,523.53
220,4214,2022-08-07,Debit Card,103.52
221,635,2022-11-02,Debit Card,938.98
222,2000,2022-06-25,Bank Transfer,47.35
223,5285,2022-04-29,Debit Card,407.62
224,3471,2022-03-15,Debit Card,211.91
225,4215,2022-08-16,PayPal,276.49
226,1806,2022-08-14,PayPal,131.61
227,600,2022-06-01,Debit Card,945.49
228,5483,2022-08-10,PayPal,151.14
229,6890,2022-03-13,Bank Transfer,884.86
230,7946,2022-03-10,Bank Transfer,116.25
231,3126,2022-06-05,Bank Transfer,488.69
232,6494,2023-01-18,Credit Card,381.24
233,1122,2022-10-01,Credit Card,958.79
234,5840,2022-09-18,Bank Transfer,994.02
235,8538,2022-12-15,Bank Transfer,754.82
236,1400,2022-11-27,Bank Transfer,447.48
237,2722,2022-04-23,Debit Card,473.52
238,5161,2022-09-22,Credit Card,382.23
239,8136,2022-06-29,Debit Card,973.77
240,1215,2022-09-16,Credit Card,926.67
241,35,2022-09-24,Bank Transfer,844.86
242,3115,2022-04-04,Bank Transfer,933.91
243,4107,2022-07-28,Debit Card,456.81
244,6777,2022-11-23,PayPal,882.71
245,1049,2022-09-05,Bank Transfer,443.31
246,7448,2022-08-19,PayPal,245.53
247,1556,2022-06-08,Bank Transfer,594.36
248,1944,2023-01-14,Credit Card,372.11
249,7453,2022-09-02,Bank Transfer,113.6
250,3500,2023-02-13,Credit Card,530.93
251,1900,2022-06-30,Debit Card,182.68
252,3848,2023-01-28,PayPal,667.99
253,6553,2022-08-17,Debit Card,739.1
254,7246,2023-01-01,PayPal,268.71
255,9999,2022-08-03,Credit Card,92.06
256,6397,2022-03-20,PayPal,254.3
257,4684,2022-06-14,PayPal,754.55
258,9521,2022-08-25,Credit Card,658.45
259,1582,2023-01-08,Debit Card,317.21
260,944,2022-10-09,Debit Card,43.88
261,7790,2022-04-24,Credit Card,401.01
262,9958,2022-05-02,PayPal,900.67
263,4302,2022-09-27,Debit Card,290.0
264,509,2022-06-08,Debit Card,65.34
265,6597,2022-11-12,Bank Transfer,184.28
266,6427,2022-07-11,Credit Card,558.09
267,4440,2022-06-13,Bank Transfer,99.04
268,9521,2023-01-12,Bank Transfer,763.86
269,6171,2022-09-27,PayPal,953.82
270,8897,2022-06-27,Debit Card,422.88
271,8802,2023-01-18,Bank Transfer,65.12
272,6872,2022-07-21,Debit Card,488.3
273,3045,2022-12-30,PayPal,613.36
274,6141,2022-10-21,Debit Card,848.23
275,8864,2022-06-26,Credit Card,846.58
276,1495,2022-06-20,Debit Card,549.07
277,7618,2023-01-06,PayPal,755.66
278,6814,2023-01-31,Credit Card,655.83
279,927,2022-04-07,Credit Card,250.81
280,525,2022-12-01,Credit Card,247.87
281,6978,2022-07-12,Bank Transfer,461.34
282,6311,2023-02-03,Bank Transfer,347.11
283,6108,2022-07-26,PayPal,772.39
284,2229,2022-03-30,Debit Card,658.37
285,8986,2022-11-16,Credit Card,803.63
286,827,2022-12-05,Bank Transfer,588.88
287,2362,2022-04-03,Credit Card,161.94
288,3654,2022-12-13,PayPal,624.28
289,8593,2023-02-02,Debit Card,804.39
290,4203,2022-12-28,PayPal,879.41
291,5219,2022-04-28,Debit Card,762.77
292,6643,2022-06-17,Debit Card,613.71
293,45,2022-09-05,Bank Transfer,311.47
294,6233,2022-08-14,Debit Card,387.21
295,5652,2022-06-19,PayPal,332.32
296,2517,2023-03-05,Bank Transfer,373.91
297,5487,2023-01-30,Credit Card,655.28
298,2423,2023-01-31,Bank Transfer,694.7
299,9371,2023-01-12,Credit Card,475.48
300,1464,2022-07-08,Debit Card,815.47
301,7001,2022-05-11,Debit Card,696.56
302,3819,2022-05-23,Credit Card,161.99
303,5922,2022-12-23,PayPal,452.43
304,925,2022-06-25,Bank Transfer,923.22
305,9894,2022-08-13,Debit Card,492.36
306,5162,2022-09-11,Debit Card,919.83
307,8309,2022-12-20,Debit Card,692.93
308,5966,2022-09-14,PayPal,957.33
309,4674,2022-03-22,Credit Card,414.13
310,6082,2022-04-12,Bank Transfer,436.89
311,1142,2022-03-09,Bank Transfer,593.5
312,6233,2022-04-19,Credit Card,948.79
313,7404,2022-07-18,Debit Card,714.48
314,3316,2023-02-04,Credit Card,942.11
315,3946,2023-02-19,PayPal,177.89
316,3657,2022-10-29,Debit Card,753.74
317,3880,2022-09-16,PayPal,438.36
318,6489,2022-07-28,PayPal,873.49
319,1382,2022-11-20,Bank Transfer,788.95
320,4434,2022-09-03,Debit Card,249.58
321,977,2023-01-09,Debit Card,317.09
322,531,2022-07-13,Debit Card,802.07
323,493,2023-01-16,Credit Card,400.18
324,6927,2022-04-05,Debit Card,893.77
325,2752,2022-11-17,Debit Card,137.42
326,5705,2022-12-18,Bank Transfer,823.75
327,7496,2023-01-25,Debit Card,678.87
328,6092,2022-05-06,Debit Card,467.58
329,846,2022-04-17,Bank Transfer,676.43
330,1524,2022-11-14,PayPal,498.22
331,9390,2023-02-20,PayPal,875.23
332,8469,2022-12-04,Debit Card,357.9
333,2758,2022-09-15,Credit Card,827.56
334,5585,2022-06-13,PayPal,82.8
335,373,2022-09-20,Credit Card,310.24
336,5314,2022-03-22,Debit Card,355.57
337,4218,2023-02-27,Bank Transfer,230.35
338,8533,2022-07-15,Credit Card,696.78
339,4775,2023-03-05,Bank Transfer,92.5
340,1478,2022-08-07,Credit Card,123.86
341,1535,2022-10-21,Debit Card,255.43
342,6606,2022-09-27,Debit Card,145.12
343,1427,2022-10-11,PayPal,240.73
344,5273,2022-07-08,Debit Card,745.38
345,1434,2022-11-07,PayPal,306.13
346,7723,2022-07-25,Debit Card,258.04
347,9132,2022-09-26,Debit Card,649.44
348,9218,2022-06-06,PayPal,870.04
349,34,2022-08-17,Debit Card,787.5
350,4040,2022-08-24,PayPal,636.13
351,4562,2022-06-22,Debit Card,948.49
352,2709,2022-04-21,PayPal,469.27
353,8995,2022-09-15,PayPal,279.4
354,5181,2022-07-10,Bank Transfer,794.98
355,1462,2022-09-23,Debit Card,898.4
356,8340,2023-01-17,Debit Card,337.13
357,8340,2022-05-06,PayPal,430.06
358,1242,2022-07-21,Credit Card,880.04
359,9459,2023-01-14,Debit Card,615.46
360,4158,2022-07-02,PayPal,298.17
361,7303,2022-08-22,Bank Transfer,340.01
362,8253,2022-11-20,Credit Card,35.2
363,8655,2022-10-31,Debit Card,520.37
364,5287,2022-11-24,Bank Transfer,182.06
365,1784,2022-05-09,Bank Transfer,678.48
366,764,2022-05-06,Debit Card,177.83
367,256,2023-01-20,PayPal,607.2
368,5386,2023-02-04,Bank Transfer,432.87
369,6759,2022-07-25,Debit Card,315.95
370,7787,2022-04-12,Bank Transfer,506.83
371,8430,2022-11-04,PayPal,889.98
372,2271,2022-10-05,Credit Card,849.97
373,7170,2022-06-23,PayPal,346.53
374,9066,2022-04-10,PayPal,68.45
375,3337,2023-02-20,Credit Card,350.7
376,4828,2023-01-10,Credit Card,253.2
377,1577,2023-01-24,Credit Card,144.38
378,9030,2022-09-07,Debit Card,894.51
379,1295,2022-12-15,Bank Transfer,414.95
380,2100,2022-06-23,Credit Card,601.22
381,3875,2022-07-06,PayPal,918.19
382,2998,2023-01-20,Bank Transfer,47.22
383,5964,2022-09-07,Credit Card,662.09
384,6257,2022-11-30,Debit Card,345.86
385,7160,2022-04-20,Debit Card,998.72
386,3481,2022-03-28,PayPal,930.65
387,1582,2022-10-10,Bank Transfer,826.74
388,4494,2022-08-08,PayPal,751.76
389,2488,2022-07-23,PayPal,130.46
390,1389,2022-09-09,PayPal,160.2
391,4495,2022-10-20,Debit Card,722.3
392,4910,2022-10-12,Debit Card,393.69
393,3248,2023-02-23,Debit Card,333.66
394,3720,2022-08-18,Credit Card,504.03
395,3345,2022-11-06,PayPal,754.1
396,9131,2022-08-28,PayPal,435.93
397,8957,2022-05-30,PayPal,454.44
398,2424,2022-10-02,PayPal,782.17
399,7708,2022-08-11,Bank Transfer,159.5
400,2621,2022-11-20,Bank Transfer,331.01
401,6705,2022-08-03,Credit Card,654.98
402,4310,2022-03-21,Credit Card,40.49
403,8990,2022-06-04,PayPal,502.88
404,7396,2022-11-02,Debit Card,344.25
405,1897,2022-09-08,Credit Card,766.39
406,1849,2023-02-03,Bank Transfer,185.82
407,4101,2022-06-30,Debit Card,887.05
408,9598,2022-10-05,Bank Transfer,864.92
409,8477,2023-02-14,PayPal,226.82
410,5964,2022-12-16,Bank Transfer,520.64
411,7031,2022-05-12,Debit Card,120.47
412,3272,2022-04-12,Bank Transfer,345.26
413,8279,2022-11-02,Credit Card,468.84
414,1979,2023-02-08,PayPal,798.6
415,579,2022-03-29,Debit Card,165.29
416,284,2023-01-15,Credit Card,91.05
417,1469,2022-03-15,Bank Transfer,80.67
418,358,2023-01-31,PayPal,931.18
419,2663,2022-10-26,Bank Transfer,430.68
420,7256,2022-11-10,PayPal,118.35
421,5208,2022-11-02,Debit Card,537.9
422,2719,2022-09-20,PayPal,641.51
423,8117,2023-02-12,PayPal,525.95
424,5263,2022-07-02,PayPal,108.64
425,9969,2022-09-20,Bank Transfer,274.06
426,1658,2022-04-18,Credit Card,159.29
427,5871,2022-11-23,Bank Transfer,459.08
428,5364,2022-09-11,Credit Card,588.01
429,8761,2022-07-06,Bank Transfer,720.5
430,8598,2023-02-12,PayPal,442.41
431,9148,2022-09-14,Credit Card,305.13
432,8485,2022-06-01,Credit Card,278.37
433,118,2022-05-02,Credit Card,197.36
434,3436,2022-11-04,PayPal,477.87
435,5455,2022-06-13,Debit Card,737.09
436,7849,2022-11-18,Debit Card,116.37
437,8112,2022-04-13,Credit Card,709.43
438,239,2022-11-22,Debit Card,69.26
439,5418,2022-03-28,PayPal,959.54
440,199,2022-08-29,PayPal,312.04
441,6771,2022-06-22,Debit Card,570.92
442,5855,2022-08-14,Bank Transfer,902.97
443,2302,2022-06-15,Bank Transfer,522.25
444,3409,2022-12-13,PayPal,102.86
445,1480,2022-09-27,PayPal,772.7
446,6173,2022-08-20,PayPal,794.88
447,3441,2022-05-20,PayPal,799.17
448,1257,2022-07-02,Bank Transfer,966.14
449,6332,2022-11-25,Bank Transfer,162.16
450,4232,2022-03-14,Bank Transfer,667.33
451,3681,2022-09-28,Debit Card,924.06
452,8160,2022-11-16,Debit Card,470.92
453,9582,2022-06-04,Credit Card,499.87
454,8154,2022-03-10,Debit Card,638.5
455,6937,2022-04-05,Credit Card,648.35
456,7993,2022-11-16,PayPal,771.54
457,3382,2022-04-19,Bank Transfer,978.01
458,8235,2022-07-03,Debit Card,936.27
459,543,2022-09-24,Debit Card,929.07
460,6577,2022-12-06,PayPal,194.78
461,5799,2022-11-21,Credit Card,674.76
462,9683,2022-08-01,PayPal,807.7
463,7322,2022-04-05,PayPal,655.14
464,9704,2022-11-04,PayPal,677.45
465,9993,2023-02-06,Bank Transfer,631.14
466,376,2023-01-06,Credit Card,392.39
467,7634,2022-07-27,PayPal,936.52
468,5292,2022-06-09,PayPal,812.01
469,2856,2022-11-15,Bank Transfer,472.49
470,7171,2022-07-06,Debit Card,62.14
471,7260,2022-06-22,Debit Card,941.65
472,5276,2023-01-22,PayPal,526.47
473,1022,2022-04-10,Debit Card,614.32
474,2024,2022-08-27,PayPal,410.53
475,2641,2022-06-28,Bank Transfer,280.83
476,7132,2022-10-13,Debit Card,356.54
477,5184,2023-03-02,PayPal,555.55
478,3035,2022-05-03,PayPal,765.2
479,4138,2022-11-23,Bank Transfer,551.23
480,1583,2022-09-21,Credit Card,819.15
481,3835,2023-01-01,PayPal,730.75
482,5536,2022-08-29,Credit Card,552.11
483,3101,2022-06-04,Bank Transfer,979.63
484,5267,2023-02-04,PayPal,469.9
485,4516,2022-05-20,PayPal,998.14
486,6551,2022-09-02,Bank Transfer,861.5
487,4285,2022-05-31,PayPal,812.19
488,6415,2022-03-13,Bank Transfer,100.12
489,3536,2022-09-12,Debit Card,578.05
490,4344,2022-10-08,PayPal,170.85
491,166,2022-04-03,Credit Card,491.18
492,4310,2022-08-13,PayPal,454.16
493,9538,2022-04-04,PayPal,804.82
494,5658,2023-01-13,Credit Card,356.52
495,3991,2023-02-02,Bank Transfer,319.87
496,4799,2022-05-17,Bank Transfer,878.03
497,9898,2022-07-28,Debit Card,862.78
498,3004,2022-08-14,PayPal,154.98
499,3963,2022-08-26,Debit Card,157.67
500,3047,2022-09-05,Credit Card,408.6
501,4681,2022-09-30,Bank Transfer,727.87
502,1454,2022-06-18,PayPal,947.03
503,3250,2022-04-30,Credit Card,882.85
504,2941,2022-04-09,Debit Card,878.26
505,5685,2022-09-09,Credit Card,823.32
506,7893,2022-07-22,Bank Transfer,231.82
507,2360,2022-11-05,PayPal,514.11
508,2070,2022-09-04,PayPal,602.41
509,5708,2022-04-20,Bank Transfer,150.96
510,2486,2022-06-17,Bank Transfer,765.1
511,8212,2022-10-05,Debit Card,882.96
512,3459,2022-11-26,Bank Transfer,516.04
513,1678,2022-04-20,PayPal,815.91
514,4940,2023-02-14,Debit Card,176.44
515,4842,2022-06-27,Debit Card,116.19
516,1715,2022-07-19,Bank Transfer,983.48
517,2072,2022-06-30,Debit Card,448.96
518,7779,2023-01-18,PayPal,587.0
519,8747,2022-06-24,Debit Card,587.32
520,8096,2022-07-04,Credit Card,431.02
521,8215,2022-06-02,Credit Card,154.23
522,1550,2022-07-02,Bank Transfer,442.77
523,9958,2022-11-13,Credit Card,263.76
524,5227,2023-02-01,Bank Transfer,577.5
525,1948,2023-02-03,Credit Card,289.11
526,4410,2022-12-21,Debit Card,962.75
527,3668,2022-04-07,Debit Card,966.65
528,7789,2022-04-03,PayPal,198.74
529,5132,2022-09-17,Debit Card,80.34
530,896,2022-05-10,Bank Transfer,534.72
531,1493,2022-12-02,PayPal,124.69
532,7589,2023-01-17,Debit Card,612.38
533,9615,2022-05-29,Credit Card,558.09
534,6326,2022-08-22,Credit Card,489.91
535,6372,2022-06-28,Bank Transfer,880.56
536,4365,2022-05-18,PayPal,198.34
537,9335,2023-01-11,Bank Transfer,118.08
538,4346,2022-07-31,Credit Card,507.03
539,5041,2023-01-19,Credit Card,418.29
540,2174,2022-11-10,Credit Card,819.93
541,5466,2022-05-31,Credit Card,886.43
542,397,2022-04-30,Credit Card,571.15
543,2147,2022-05-21,Debit Card,608.0
544,3607,2022-05-12,PayPal,641.49
545,9719,2022-08-06,PayPal,682.76
546,4323,2022-12-04,Bank Transfer,717.04
547,5136,2022-05-06,Debit Card,828.96
548,1776,2022-09-22,Credit Card,82.58
549,2387,2022-07-07,Credit Card,350.89
550,6143,2022-12-28,Credit Card,481.5
551,4961,2022-03-30,PayPal,455.15
552,6790,2022-11-16,Debit Card,184.33
553,1881,2022-12-27,Credit Card,202.43
554,9092,2022-08-08,Credit Card,666.41
555,1282,2022-05-31,Credit Card,618.97
556,4431,2022-12-21,PayPal,87.09
557,2670,2022-05-30,Debit Card,873.85
558,3438,2022-11-14,Credit Card,189.98
559,1891,2022-06-27,Debit Card,385.26
560,1440,2022-08-04,Debit Card,319.52
561,2991,2022-07-14,PayPal,36.26
562,2390,2022-07-27,Credit Card,197.11
563,1150,2022-05-14,Debit Card,798.06
564,6558,2022-11-22,Credit Card,675.83
565,1240,2022-07-19,Credit Card,514.2
566,8225,2022-12-17,Bank Transfer,497.98
567,4895,2022-12-03,Debit Card,901.33
568,8086,2023-01-16,Credit Card,793.13
569,7546,2022-07-11,Bank Transfer,641.45
570,5946,2022-12-19,Bank Transfer,912.91
571,3671,2023-02-14,Debit Card,157.57
572,1115,2022-10-12,Bank Transfer,198.36
573,9432,2022-12-19,PayPal,327.71
574,2191,2022-07-19,Debit Card,54.73
575,4270,2022-06-16,Bank Transfer,836.54
576,6054,2022-05-26,PayPal,691.97
577,8246,2022-05-07,Bank Transfer,950.57
578,4655,2022-09-19,PayPal,794.47
579,2062,2022-04-29,Credit Card,276.71
580,3617,2023-02-19,Credit Card,268.75
581,5960,2022-07-01,PayPal,282.78
582,4256,2022-11-28,Debit Card,320.98
583,1896,2022-07-27,PayPal,834.95
584,2139,2023-02-17,Credit Card,51.49
585,2670,2023-01-13,Debit Card,614.71
586,3029,2022-06-14,Debit Card,639.99
587,9934,2022-04-08,PayPal,976.41
588,2026,2022-07-25,Credit Card,481.06
589,7751,2022-10-09,Bank Transfer,975.25
590,8481,2022-07-04,Credit Card,215.53
591,4174,2022-10-03,Debit Card,429.77
592,2135,2022-11-27,Bank Transfer,772.69
593,9908,2022-11-07,Credit Card,638.37
594,6608,2022-09-03,Debit Card,440.84
595,1116,2022-09-10,Bank Transfer,518.62
596,10000,2022-08-30,Credit Card,115.98
597,7993,2022-05-10,Bank Transfer,251.32
598,2565,2022-11-12,Credit Card,604.64
599,4065,2022-03-22,Credit Card,600.64
600,6265,2022-08-06,Debit Card,431.74
601,3036,2022-06-09,Debit Card,799.23
602,7642,2022-12-26,PayPal,919.73
603,5079,2022-11-09,Credit Card,422.55
604,1782,2022-12-28,Bank Transfer,583.53
605,2585,2022-07-12,Debit Card,56.09
606,2879,2022-04-16,Debit Card,827.75
607,6803,2022-09-28,PayPal,645.78
608,8974,2022-12-27,Bank Transfer,198.4
609,7721,2022-09-04,Bank Transfer,670.43
610,6930,2023-01-23,Bank Transfer,137.05
611,2739,2022-08-20,PayPal,804.62
612,2578,2022-10-04,Credit Card,903.59
613,847,2022-07-29,Credit Card,17.13
614,5852,2022-07-02,Bank Transfer,490.49
615,2226,2023-02-24,Credit Card,96.63
616,1850,2022-04-22,PayPal,469.01
617,4450,2022-11-17,PayPal,932.63
618,1427,2022-03-23,Debit Card,464.6
619,4242,2023-01-09,Debit Card,651.75
620,1910,2022-09-04,Debit Card,132.92
621,3034,2022-07-02,Debit Card,795.15
622,4782,2022-07-01,Credit Card,569.9
623,5279,2022-11-09,PayPal,888.41
624,9455,2022-05-06,PayPal,708.1
625,8648,2023-02-08,Bank Transfer,437.67
626,4786,2022-12-14,Debit Card,550.85
627,6577,2023-01-02,Debit Card,432.15
628,4816,2023-02-08,Bank Transfer,412.72
629,9119,2022-06-20,Credit Card,941.77
630,3594,2022-11-05,Debit Card,976.25
