order_id,supplier_id,order_date,expected_delivery_date,total_cost
133,6866,2022-07-19,2022-08-12,1587.79
134,6723,2022-09-11,2022-09-20,9662.4
135,1778,2022-04-12,2022-04-20,4456.49
136,5256,2022-12-01,2022-12-24,3351.55
137,8874,2022-12-13,2022-12-25,4099.73
138,4629,2022-03-17,2022-03-29,3717.44
139,5144,2022-12-08,2022-12-10,7943.06
140,3859,2022-07-08,2022-08-03,6355.84
141,7338,2023-02-17,2023-02-27,3667.59
142,6539,2022-05-01,2022-05-12,7822.24
143,2349,2022-06-14,2022-07-08,3807.71
144,5533,2023-01-16,2023-02-04,4811.31
145,4723,2022-08-21,2022-09-18,3627.76
146,7396,2022-11-16,2022-11-25,7486.75
147,9697,2022-11-19,2022-11-29,5342.38
148,7141,2022-03-22,2022-04-05,1906.17
149,6868,2022-07-09,2022-07-28,6222.2
150,8632,2022-09-02,2022-09-30,202.81
151,7428,2022-11-28,2022-12-09,822.41
152,2802,2022-04-01,2022-04-06,1774.5
153,7111,2022-05-10,2022-06-06,4470.69
154,4977,2022-10-17,2022-10-24,9557.62
155,9743,2023-01-31,2023-02-28,1159.57
156,9008,2022-08-02,2022-08-17,5634.68
157,4531,2022-08-28,2022-09-23,1564.91
158,2481,2023-02-19,2023-03-11,6807.74
159,5748,2023-01-09,2023-01-29,8720.37
160,1890,2023-02-01,2023-02-10,2628.66
161,5327,2023-01-26,2023-02-11,3010.16
162,4340,2022-11-11,2022-12-02,2326.5
163,5547,2023-01-12,2023-02-03,4436.18
164,3277,2023-02-06,2023-02-28,3635.62
165,4920,2022-07-01,2022-07-14,1664.76
166,7795,2022-03-23,2022-03-30,3331.64
167,7740,2022-06-12,2022-06-26,6157.32
168,7707,2022-07-25,2022-08-11,6623.34
169,9610,2022-04-16,2022-05-13,5511.6
170,5362,2022-04-08,2022-05-08,1302.59
171,9389,2022-12-16,2022-12-22,6853.25
172,3997,2022-08-08,2022-08-28,3322.93
173,7278,2022-11-18,2022-12-18,5453.15
174,9319,2022-12-06,2023-01-02,5007.3
175,4428,2022-11-30,2022-12-27,5026.36
176,2859,2023-02-22,2023-03-05,6273.26
177,8294,2022-06-19,2022-06-23,7969.47
178,9190,2022-06-28,2022-07-22,3784.32
179,1702,2022-03-28,2022-04-16,9326.88
180,2013,2022-06-06,2022-06-27,8510.49
181,6983,2022-07-09,2022-07-31,2133.46
182,1021,2023-02-25,2023-03-26,9124.41
183,8734,2022-12-15,2023-01-11,3377.34
184,5733,2023-03-02,2023-03-20,2565.31
185,7481,2022-06-18,2022-07-15,1536.57
186,9517,2023-03-04,2023-03-24,9087.6
187,6415,2023-01-11,2023-01-23,7007.12
188,3059,2022-03-22,2022-04-19,3710.35
189,3298,2022-06-23,2022-07-07,6568.69
190,1668,2022-06-04,2022-06-25,2893.21
191,354,2022-10-26,2022-11-09,1963.7
192,9281,2022-11-02,2022-11-26,7741.6
193,1527,2022-05-30,2022-06-26,8334.6
194,353,2022-10-23,2022-11-13,8446.3
195,9801,2022-11-17,2022-12-14,8033.07
196,8617,2022-10-04,2022-10-24,1403.53
197,9278,2022-05-17,2022-05-19,3006.29
198,5869,2022-07-23,2022-08-06,3291.69
199,2454,2022-09-17,2022-10-11,352.41
200,3215,2023-03-08,2023-04-02,7936.21
201,782,2022-09-19,2022-09-22,750.75
202,2290,2023-01-23,2023-02-07,1131.52
203,8591,2022-08-19,2022-08-21,3011.63
204,8399,2022-12-21,2022-12-28,7798.53
205,1209,2023-01-20,2023-02-07,8195.55
206,2782,2022-07-31,2022-08-06,8365.0
207,2828,2022-08-12,2022-08-26,4323.05
208,6022,2022-12-02,2022-12-04,8445.59
209,7848,2022-05-01,2022-05-13,1246.07
210,2992,2022-04-29,2022-05-19,7641.19
211,1483,2022-10-03,2022-11-02,9416.62
212,8171,2022-03-13,2022-04-11,2942.1
213,6886,2022-05-04,2022-05-15,2025.71
214,4908,2022-11-11,2022-12-07,9251.39
215,849,2022-07-30,2022-08-18,8033.61
216,3296,2022-04-23,2022-05-06,7528.53
217,224,2023-02-03,2023-02-05,1503.88
218,2729,2022-10-15,2022-10-22,9040.24
219,1833,2022-12-22,2022-12-23,2424.94
220,7581,2023-01-15,2023-01-22,668.78
221,6680,2023-01-18,2023-01-29,4325.74
222,530,2022-07-09,2022-07-12,3567.82
223,6830,2022-12-02,2022-12-15,6872.08
224,6641,2023-03-06,2023-04-03,2060.22
225,5141,2022-12-27,2023-01-19,7935.02
226,7197,2022-11-03,2022-11-18,1058.96
227,5362,2022-05-02,2022-05-17,4447.93
228,9819,2023-01-02,2023-01-08,6930.54
229,7385,2023-01-16,2023-01-23,7064.42
230,6904,2023-02-07,2023-03-03,5691.22
231,110,2023-01-07,2023-02-04,6076.51
232,4116,2022-05-02,2022-05-19,7964.56
233,8801,2022-05-18,2022-06-07,2107.81
234,7982,2022-08-22,2022-08-31,649.68
235,8284,2022-10-21,2022-11-06,4435.26
236,7208,2022-07-20,2022-07-28,3360.27
237,4746,2022-09-21,2022-10-17,9525.77
238,8664,2022-04-10,2022-05-02,6968.24
239,6659,2022-10-20,2022-10-25,263.23
240,6864,2022-08-20,2022-09-12,1462.91
241,2222,2022-12-24,2022-12-26,1947.19
242,1452,2023-03-05,2023-03-10,1799.93
243,9844,2022-05-07,2022-05-16,8892.39
244,4172,2022-06-07,2022-06-13,670.64
245,7719,2022-12-18,2023-01-07,7049.41
246,5366,2022-04-24,2022-04-28,9824.65
247,4174,2022-09-26,2022-09-30,1965.27
248,7650,2023-02-18,2023-03-03,8898.05
249,9179,2022-05-03,2022-05-06,9426.52
250,1103,2022-08-02,2022-08-12,4778.85
251,4667,2022-10-11,2022-10-17,2663.8
252,3984,2022-08-01,2022-08-19,6742.51
253,2361,2022-05-09,2022-06-02,1230.38
254,858,2023-01-05,2023-01-08,8107.23
255,4947,2022-08-03,2022-08-24,7164.21
256,9405,2023-01-07,2023-01-29,7480.8
257,9026,2022-11-16,2022-12-06,7657.83
258,8802,2022-07-12,2022-08-07,4488.76
259,2600,2022-11-01,2022-11-13,5459.47
260,8506,2022-08-31,2022-09-23,4797.59
261,1949,2022-07-17,2022-07-21,9960.0
262,5515,2022-09-26,2022-09-28,7889.58
263,875,2022-06-21,2022-07-05,8997.21
264,5532,2022-06-28,2022-07-10,374.86
265,2052,2022-05-14,2022-06-04,4241.72
266,266,2023-03-04,2023-03-29,3446.34
267,3773,2022-05-03,2022-05-28,5214.67
268,7213,2022-11-02,2022-11-14,1416.27
269,3349,2023-02-12,2023-03-07,5398.56
270,1909,2022-06-22,2022-07-18,331.31
271,141,2022-12-07,2022-12-23,2052.66
272,5101,2022-03-30,2022-04-05,8152.74
273,1257,2022-09-08,2022-09-21,4880.63
274,7953,2022-09-01,2022-09-27,9469.15
275,8970,2022-09-04,2022-09-09,9120.45
276,2425,2022-04-08,2022-04-29,6897.7
277,240,2022-10-22,2022-10-29,7343.98
278,3896,2022-07-23,2022-08-13,2138.74
279,6346,2022-10-03,2022-11-02,4276.66
280,2741,2022-06-11,2022-07-03,7214.27
281,5785,2023-02-26,2023-03-10,8159.64
282,5287,2022-07-11,2022-07-18,8658.61
283,9277,2023-01-25,2023-02-19,6325.32
284,5946,2023-01-22,2023-02-16,2001.77
285,4576,2022-10-02,2022-10-19,1530.57
286,2356,2022-08-06,2022-08-17,5368.21
287,4052,2022-11-27,2022-12-01,2047.33
288,584,2022-05-13,2022-06-08,3889.64
289,8209,2022-12-13,2022-12-23,7656.13
290,98,2022-05-04,2022-05-19,2063.89
291,679,2023-01-27,2023-02-18,9179.17
292,7971,2022-11-30,2022-12-27,5459.9
293,2189,2022-07-25,2022-08-19,4625.22
294,341,2023-01-23,2023-02-16,3965.37
295,6708,2023-02-08,2023-02-26,4363.55
296,4565,2023-03-01,2023-03-15,2642.15
297,6077,2022-06-20,2022-07-05,1341.47
298,4193,2023-03-03,2023-03-12,5754.46
299,8778,2022-03-22,2022-04-01,2696.24
300,1812,2022-03-17,2022-04-03,103.8
301,6160,2022-08-25,2022-08-27,3281.83
302,1076,2022-07-28,2022-08-08,3435.7
303,3779,2022-10-11,2022-10-17,2418.28
304,66,2023-03-01,2023-03-24,6109.54
305,699,2022-06-15,2022-07-12,3430.96
306,4376,2023-01-13,2023-01-16,4326.4
307,6119,2022-06-22,2022-07-01,8825.53
308,3355,2022-07-30,2022-08-24,5595.43
309,7394,2022-11-10,2022-11-15,4091.68
310,4763,2022-03-31,2022-04-03,9719.96
311,8586,2022-06-23,2022-07-07,276.37
312,5750,2022-09-08,2022-09-30,8403.26
313,2441,2022-09-14,2022-09-17,3873.55
314,8734,2022-04-21,2022-05-13,426.35
315,6290,2022-09-09,2022-10-01,6681.46
316,3910,2022-07-21,2022-08-03,3498.99
317,5089,2023-01-31,2023-02-28,6102.76
318,3831,2022-08-31,2022-09-20,5039.31
319,6460,2022-07-22,2022-08-09,3283.18
320,4642,2022-10-16,2022-11-04,4936.23
321,9579,2022-04-17,2022-05-05,7114.41
322,7974,2022-12-11,2022-12-25,7912.23
323,8869,2023-01-13,2023-02-06,4467.54
324,7551,2022-05-01,2022-05-27,7982.18
325,1382,2022-08-19,2022-09-12,7839.41
326,6441,2022-04-27,2022-05-03,1367.43
327,987,2022-08-06,2022-08-15,5858.42
328,5081,2022-03-22,2022-03-29,1892.26
329,2372,2022-03-26,2022-04-08,2573.16
330,5615,2023-01-21,2023-02-15,4218.76
331,1545,2022-04-23,2022-04-28,3394.24
332,8885,2022-06-08,2022-06-29,8460.41
333,3615,2022-08-10,2022-08-15,4402.3
334,3757,2022-11-29,2022-12-09,2645.26
335,16,2022-06-23,2022-07-17,8838.64
336,2088,2022-10-22,2022-11-12,8118.49
337,5417,2022-08-23,2022-09-21,4855.52
338,1524,2022-10-29,2022-11-01,8530.75
339,4498,2022-12-25,2023-01-24,4794.28
340,3308,2022-04-13,2022-04-18,7010.53
341,3112,2022-11-15,2022-11-21,2543.7
342,4191,2022-05-05,2022-06-01,4394.86
343,7359,2022-04-21,2022-05-15,4938.67
344,6008,2022-07-07,2022-07-24,7845.83
345,8859,2022-10-08,2022-10-17,7606.23
346,72,2022-11-10,2022-11-30,1226.63
347,6665,2022-05-01,2022-05-13,5166.91
348,7109,2022-10-12,2022-10-18,1931.6
349,3229,2023-01-25,2023-02-11,4566.51
350,2540,2022-10-22,2022-11-19,2493.18
351,1227,2022-03-26,2022-04-15,9529.93
352,5811,2022-06-12,2022-06-22,5410.76
353,1891,2022-11-17,2022-11-19,5109.6
354,611,2022-05-28,2022-06-23,4354.75
355,4577,2022-12-15,2022-12-26,6790.3
356,2132,2022-04-17,2022-04-21,6527.71
357,2951,2023-02-20,2023-03-01,4625.42
358,9821,2022-07-07,2022-07-12,9865.68
359,3579,2022-07-17,2022-07-18,4385.34
360,5622,2023-02-14,2023-02-19,2658.77
361,8912,2022-11-02,2022-11-22,7881.79
362,9566,2022-09-29,2022-10-15,692.96
363,2681,2022-09-05,2022-09-07,1724.8
364,306,2022-06-22,2022-07-13,5564.58
365,4571,2023-02-15,2023-03-09,2113.04
366,6544,2022-09-13,2022-09-26,7083.37
367,3200,2022-04-11,2022-04-22,5627.86
368,2183,2022-11-15,2022-12-12,9650.92
369,8915,2022-12-20,2023-01-15,278.82
370,2592,2022-12-24,2023-01-01,1661.91
371,3400,2022-04-04,2022-04-18,736.71
372,1130,2022-11-11,2022-11-24,6146.2
373,295,2023-01-10,2023-01-19,441.81
374,2297,2022-05-13,2022-05-27,909.13
375,3688,2022-12-13,2022-12-14,4637.23
376,6887,2022-09-06,2022-09-10,8305.82
377,8199,2022-11-26,2022-12-07,9903.84
378,76,2022-12-05,2022-12-28,6707.19
379,1306,2022-03-28,2022-04-19,1708.47
380,9866,2022-04-14,2022-04-17,6696.86
381,9336,2023-01-05,2023-01-23,4021.05
382,4575,2022-05-18,2022-06-03,9547.26
383,3496,2022-10-29,2022-11-27,271.49
384,8961,2022-07-22,2022-07-27,4058.76
385,5990,2022-11-02,2022-11-03,4212.61
386,2831,2022-07-20,2022-08-18,3141.14
387,6761,2022-12-16,2022-12-18,5506.22
388,74,2022-03-31,2022-04-15,1748.05
389,1250,2023-02-05,2023-02-25,4732.35
390,2572,2022-06-29,2022-07-01,2392.58
391,5277,2022-05-09,2022-05-14,3749.09
392,7838,2022-06-08,2022-07-05,7456.45
393,7449,2022-11-23,2022-12-09,3051.85
394,654,2022-03-23,2022-03-28,6469.11
395,2893,2022-09-03,2022-09-28,6530.87
396,6390,2022-09-04,2022-09-28,5695.41
397,2234,2022-05-05,2022-05-09,1291.49
398,735,2022-08-15,2022-08-20,2318.67
399,7944,2022-06-09,2022-06-26,573.33
400,9219,2022-12-02,2022-12-26,9413.43
401,5853,2022-06-02,2022-06-09,9340.81
402,1087,2022-11-11,2022-11-18,8962.89
403,3569,2022-12-29,2023-01-26,7021.66
404,931,2023-01-08,2023-01-21,6377.77
405,6802,2022-05-28,2022-06-27,8350.31
406,464,2023-03-05,2023-04-01,2254.77
407,6158,2022-10-08,2022-10-19,9773.63
408,4175,2022-04-07,2022-04-13,6756.9
409,4257,2023-02-11,2023-02-20,3728.78
410,6048,2022-07-06,2022-08-04,4829.45
411,8776,2022-06-04,2022-06-21,2168.7
412,1960,2022-12-27,2023-01-02,138.08
413,3149,2022-10-06,2022-10-08,990.22
414,1381,2023-02-12,2023-03-01,1659.26
415,3880,2022-05-23,2022-05-26,2150.8
416,7890,2022-05-25,2022-06-23,3789.99
417,7435,2022-06-25,2022-07-12,3720.33
418,8065,2022-08-11,2022-08-17,9085.41
419,9647,2022-11-02,2022-11-29,9683.43
420,9122,2022-07-08,2022-07-31,9926.49
421,4864,2023-01-23,2023-01-30,7128.09
422,2788,2022-11-29,2022-12-04,5333.34
423,5298,2022-09-24,2022-10-10,6741.49
424,9222,2022-10-08,2022-10-30,4110.25
425,4759,2022-06-29,2022-07-06,2323.45
426,5135,2022-08-19,2022-09-02,7857.01
427,1930,2022-03-17,2022-04-04,7375.01
428,4572,2022-12-24,2023-01-06,840.78
429,2406,2022-07-06,2022-07-29,7701.2
430,1948,2022-11-14,2022-11-17,6325.77
431,7095,2022-06-18,2022-07-11,1701.53
432,4980,2022-04-23,2022-05-21,4882.68
433,3783,2022-11-26,2022-12-13,5813.54
434,5608,2022-06-22,2022-06-24,3513.71
435,5813,2022-09-26,2022-10-01,9501.23
436,216,2022-11-08,2022-11-12,8541.45
437,3571,2022-04-28,2022-05-19,3587.15
438,3644,2022-11-27,2022-12-26,6269.97
439,9100,2023-01-07,2023-01-10,4692.76
440,8949,2022-08-11,2022-09-02,6623.14
441,8448,2022-07-04,2022-08-02,1789.82
442,7948,2023-01-03,2023-01-24,812.59
443,2647,2022-12-01,2022-12-21,4969.09
444,453,2022-04-15,2022-04-23,5670.7
445,7068,2022-12-25,2023-01-16,4773.98
446,5661,2022-04-10,2022-04-24,6939.39
447,3452,2022-08-03,2022-09-02,164.66
448,6212,2022-05-24,2022-06-06,4792.17
449,7846,2022-09-02,2022-09-14,7729.81
450,9156,2022-03-20,2022-04-05,6386.09
451,7308,2022-04-05,2022-04-24,5111.89
452,9908,2022-05-24,2022-06-19,1407.59
453,8668,2022-09-25,2022-09-30,1546.61
454,8002,2022-05-25,2022-06-18,2173.57
455,5213,2022-04-19,2022-05-19,8637.65
456,7054,2022-05-31,2022-06-10,594.94
457,476,2022-03-15,2022-04-08,3062.81
458,9119,2022-10-30,2022-11-11,3460.98
459,7488,2022-09-10,2022-09-22,2190.35
460,5620,2022-03-19,2022-04-06,3964.69
461,5599,2022-12-02,2022-12-04,9379.6
462,8813,2022-09-28,2022-10-03,3633.42
463,8868,2022-08-09,2022-08-12,156.98
464,9222,2022-05-31,2022-06-16,4008.04
465,9422,2022-12-13,2022-12-17,9351.0
466,8006,2022-07-26,2022-08-01,5737.18
467,8630,2022-04-13,2022-04-24,335.68
468,1405,2022-07-27,2022-08-14,2385.26
469,9830,2022-05-13,2022-06-05,4319.13
470,9956,2022-10-14,2022-10-23,1261.85
471,8747,2023-03-06,2023-03-27,4189.35
472,1887,2022-05-27,2022-06-12,6429.42
473,7690,2022-10-11,2022-11-04,138.26
474,5690,2023-02-20,2023-03-01,9411.86
475,6744,2022-05-10,2022-06-03,2931.08
476,3262,2023-03-04,2023-03-09,7993.98
477,3283,2022-08-19,2022-08-20,393.13
478,135,2022-11-20,2022-12-09,6691.05
479,7729,2023-01-10,2023-01-25,7115.35
480,662,2023-01-15,2023-01-28,2063.6
481,9030,2023-01-13,2023-01-22,5379.45
482,2185,2023-02-23,2023-03-16,4681.32
483,9778,2022-12-04,2023-01-01,2919.44
484,6043,2022-05-13,2022-05-14,4298.69
485,2216,2023-01-31,2023-02-18,8394.17
486,7497,2022-04-08,2022-05-07,265.64
487,6152,2023-02-03,2023-02-25,2846.67
488,498,2023-02-24,2023-03-17,1551.12
489,5116,2023-02-07,2023-03-08,7426.58
490,6949,2022-08-19,2022-08-28,3005.74
491,3609,2022-03-29,2022-04-18,1342.96
492,8268,2022-09-19,2022-09-24,1564.02
493,1877,2022-11-30,2022-12-29,476.48
494,2671,2022-05-04,2022-05-05,7257.52
495,7295,2023-01-19,2023-02-13,796.14
496,1865,2022-10-21,2022-11-13,4488.01
497,6890,2022-08-01,2022-08-18,7820.15
498,9175,2022-04-17,2022-05-03,5172.15
499,3850,2022-12-31,2023-01-27,9027.31
500,7080,2022-06-03,2022-06-21,7522.71
501,33,2022-05-21,2022-06-03,7856.06
502,7618,2022-04-08,2022-04-27,3429.03
503,1991,2022-12-17,2023-01-01,1374.9
504,1674,2022-05-07,2022-05-27,6733.78
505,397,2023-03-06,2023-03-28,4785.58
506,3981,2022-10-14,2022-10-28,8753.71
507,7957,2022-12-24,2023-01-01,2239.26
508,574,2022-10-25,2022-10-26,842.16
509,4648,2022-06-06,2022-06-07,4170.63
510,1454,2023-01-30,2023-02-11,9235.83
511,872,2022-07-04,2022-07-25,5466.64
512,7597,2022-09-22,2022-09-24,8764.75
513,451,2022-05-15,2022-06-09,5803.08
514,6103,2022-05-18,2022-05-25,9864.01
515,9274,2023-02-13,2023-02-23,9428.79
516,3682,2022-09-26,2022-10-24,6764.84
517,3772,2022-11-30,2022-12-17,6691.01
518,4994,2023-01-04,2023-01-16,8332.42
519,1179,2022-10-30,2022-11-02,5369.1
520,6463,2023-02-20,2023-03-14,3530.18
521,8643,2022-04-11,2022-05-03,5509.89
522,704,2022-12-28,2023-01-21,6677.89
523,942,2022-03-13,2022-03-17,8277.1
524,3837,2022-06-21,2022-07-03,3664.36
525,1575,2022-05-23,2022-06-10,9315.14
526,8259,2022-03-15,2022-04-12,6576.22
527,9552,2022-07-24,2022-08-21,6822.96
528,3700,2022-08-12,2022-08-14,5129.97
529,7489,2023-01-07,2023-01-22,314.66
530,8587,2022-11-30,2022-12-01,9029.36
531,5578,2023-02-24,2023-03-02,4520.44
532,5734,2022-07-29,2022-08-02,939.43
533,6614,2023-01-08,2023-01-18,8816.53
534,6210,2022-10-03,2022-10-31,5443.82
535,5569,2022-03-24,2022-04-23,3610.6
536,2,2023-02-12,2023-02-17,4485.15
537,8557,2022-08-09,2022-09-08,8601.5
538,5688,2022-03-28,2022-04-14,7280.76
539,8213,2022-04-10,2022-05-03,4525.95
540,9408,2022-04-15,2022-04-29,9345.0
541,8095,2022-07-11,2022-07-30,703.9
542,7420,2022-04-20,2022-05-02,312.31
543,1180,2022-05-25,2022-06-07,8581.36
544,558,2022-08-29,2022-09-26,4189.85
545,4493,2022-08-14,2022-08-30,975.84
546,3496,2022-06-26,2022-07-22,5604.72
547,9949,2022-07-05,2022-07-24,3297.26
548,4350,2022-06-13,2022-07-10,7273.88
549,7959,2022-11-08,2022-11-30,8090.87
550,3104,2022-08-21,2022-09-12,4118.46
551,9675,2022-05-27,2022-05-31,3268.68
552,189,2022-10-02,2022-10-29,7336.48
553,6818,2022-12-11,2023-01-09,3813.87
554,8854,2023-02-08,2023-02-11,3409.65
555,6232,2022-03-19,2022-04-10,761.72
556,9060,2022-04-13,2022-05-02,4624.79
557,2681,2022-08-23,2022-09-08,1946.4
558,5161,2022-10-02,2022-10-11,5142.21
559,2553,2022-07-03,2022-07-28,508.42
560,2782,2022-09-30,2022-10-17,1920.27
561,5283,2022-04-12,2022-05-02,7156.03
562,379,2022-07-13,2022-08-06,2734.88
563,2735,2022-04-09,2022-04-24,1737.36
564,3379,2023-02-27,2023-03-10,7696.66
565,1140,2023-01-11,2023-01-30,2580.3
566,6566,2022-04-30,2022-05-13,2128.81
567,6034,2022-09-19,2022-09-24,6495.94
568,8395,2023-03-07,2023-03-31,557.37
569,9659,2022-06-29,2022-07-29,302.4
570,4792,2022-12-10,2023-01-03,608.74
571,3089,2022-07-13,2022-07-22,8586.24
572,7970,2022-06-02,2022-06-19,541.84
573,8310,2022-08-28,2022-09-03,5199.08
574,964,2022-07-16,2022-08-08,2484.15
575,1195,2022-03-11,2022-03-24,1644.65
576,9398,2022-04-01,2022-04-06,4637.13
577,9524,2022-10-21,2022-10-29,5099.29
578,9519,2023-02-28,2023-03-08,4892.05
579,8780,2022-10-20,2022-10-26,4483.82
580,1043,2022-04-13,2022-05-08,9680.77
581,8355,2022-09-17,2022-10-09,8169.27
582,3823,2022-10-21,2022-10-30,6583.94
583,8554,2022-08-17,2022-09-07,5521.12
584,2226,2022-08-20,2022-09-02,6955.14
585,6334,2022-08-02,2022-08-31,1703.43
