shipment_item_id,shipment_id,product_name,quantity_received,unit_price
187,2799,Product C,10,15.29
188,9519,Product E,7,15.11
189,8473,Product A,3,20.58
190,5969,Product C,2,11.95
191,3032,Product C,9,3.48
192,7443,Product B,4,32.32
193,3428,Product C,4,40.47
194,3321,Product C,5,48.47
195,8863,Product A,8,30.48
196,1488,Product D,7,39.65
197,6436,Product D,4,19.34
198,1615,Product B,2,14.9
199,9041,Product C,10,44.67
200,8257,Product E,5,38.9
201,6766,Product B,7,41.3
202,7212,Product D,1,4.69
203,1079,Product C,9,15.59
204,603,Product A,3,4.31
205,6560,Product B,8,43.89
206,9973,Product A,9,22.0
207,1055,Product C,6,21.61
208,3567,Product A,4,32.21
209,6485,Product C,4,5.82
210,2654,Product E,5,31.79
211,3555,Product A,4,19.81
212,7228,Product E,6,27.99
213,93,Product D,3,40.19
214,9868,Product E,4,47.76
215,1126,Product D,3,45.12
216,1119,Product D,10,24.34
217,3184,Product D,5,13.06
218,8063,Product A,5,15.33
219,9062,Product E,6,18.51
220,9606,Product E,2,44.02
221,9162,Product A,7,7.81
222,8525,Product E,2,39.97
223,726,Product D,1,37.25
224,8936,Product A,4,35.31
225,513,Product D,5,25.84
226,3287,Product C,7,11.76
227,4409,Product A,7,24.79
228,5965,Product E,7,13.17
229,6642,Product C,1,5.24
230,7976,Product C,6,20.71
231,5939,Product D,7,13.94
232,7569,Product A,2,8.56
233,449,Product E,7,5.39
234,7775,Product C,1,29.67
235,8570,Product A,7,32.39
236,8238,Product C,2,47.84
237,8042,Product C,8,33.5
238,8005,Product E,4,9.74
239,2456,Product B,1,14.26
240,4795,Product A,4,11.86
241,3924,Product C,3,1.55
242,5382,Product A,3,20.72
243,3527,Product A,1,6.4
244,2400,Product B,7,25.57
245,1351,Product C,5,18.17
246,5155,Product B,7,42.61
247,3042,Product E,6,9.92
248,883,Product A,6,18.44
249,1482,Product A,9,41.22
250,7426,Product A,3,32.92
251,6861,Product A,7,24.95
252,8218,Product E,9,17.7
253,6033,Product D,1,2.06
254,8256,Product D,7,22.06
255,6790,Product B,1,32.12
256,7926,Product E,10,25.0
257,126,Product D,3,46.96
258,8233,Product C,2,23.25
259,5920,Product C,5,49.89
260,2980,Product E,7,22.19
261,3495,Product E,6,48.93
262,5005,Product C,2,19.51
263,6254,Product E,2,36.04
264,5392,Product E,1,44.15
265,5620,Product D,9,36.11
266,3975,Product E,9,33.24
267,4948,Product E,6,10.23
268,660,Product E,3,43.56
269,7636,Product E,7,19.43
270,8668,Product B,7,44.93
271,3294,Product A,4,1.87
272,2678,Product C,5,46.83
273,217,Product B,2,11.94
274,3024,Product C,5,10.21
275,8154,Product D,3,32.0
276,9213,Product E,9,27.37
277,51,Product A,9,44.94
278,6198,Product C,2,32.7
279,2152,Product C,5,18.43
280,6447,Product A,3,10.54
281,3667,Product A,6,7.1
282,6377,Product E,3,22.63
283,6125,Product B,5,15.58
284,305,Product B,5,27.46
285,288,Product C,10,44.39
286,7664,Product B,2,3.63
287,6410,Product A,5,47.68
288,1981,Product E,8,39.92
289,6554,Product C,4,33.65
290,7246,Product E,3,40.84
291,134,Product A,7,17.69
292,6816,Product D,10,41.25
293,9898,Product B,2,32.26
294,1549,Product D,5,1.56
295,1929,Product E,8,13.35
296,8500,Product B,2,25.12
297,2235,Product A,10,43.29
298,4717,Product A,2,10.42
299,3414,Product A,8,37.43
300,9948,Product C,5,7.29
301,15,Product B,10,10.99
302,3006,Product D,1,25.41
303,7452,Product D,5,29.39
304,7928,Product A,3,31.32
305,5437,Product B,10,30.89
306,2290,Product D,7,42.44
307,3,Product D,10,30.05
308,4017,Product B,5,17.77
309,7298,Product E,5,32.58
310,8932,Product D,1,27.2
311,1679,Product E,1,34.33
312,4897,Product D,7,10.71
313,1693,Product B,9,14.53
314,6884,Product D,5,48.78
315,8377,Product E,7,37.92
316,5660,Product E,5,31.31
317,9930,Product B,7,20.02
318,5700,Product D,7,6.65
319,5654,Product B,5,17.22
320,5950,Product B,1,5.07
321,8685,Product D,6,37.41
322,1534,Product B,5,31.32
323,7206,Product B,1,9.82
324,8170,Product D,8,40.24
325,943,Product A,5,22.76
326,9548,Product D,4,9.01
327,9931,Product C,5,18.11
328,6751,Product C,4,3.05
329,8820,Product A,6,6.05
330,2150,Product B,3,12.01
331,1186,Product E,2,1.31
332,6286,Product D,6,47.97
333,9181,Product B,2,19.77
334,2514,Product E,9,46.82
335,3558,Product A,8,1.15
336,8910,Product D,10,41.16
337,1482,Product D,8,11.36
338,5488,Product A,1,5.19
339,5414,Product E,10,26.64
340,2887,Product E,10,32.26
341,2669,Product B,2,8.61
342,9352,Product E,8,1.5
343,780,Product A,7,35.74
344,7017,Product B,3,48.27
345,9324,Product A,1,18.62
346,3595,Product B,9,47.32
347,6357,Product C,4,35.63
348,9626,Product D,7,36.35
349,7075,Product E,9,29.12
350,7894,Product D,10,5.0
351,9923,Product D,6,32.22
352,4668,Product A,7,1.31
353,2383,Product E,7,48.22
354,9402,Product E,4,33.01
355,9095,Product A,6,45.29
356,4003,Product B,7,4.26
357,519,Product E,3,47.4
358,9736,Product C,3,5.15
359,8733,Product E,4,45.78
360,984,Product B,9,40.87
361,7740,Product D,2,35.56
362,5139,Product D,10,37.63
363,7881,Product A,4,10.26
364,8876,Product C,6,6.31
365,7367,Product A,4,22.43
366,7416,Product E,8,3.01
367,1469,Product E,10,37.05
368,2670,Product E,1,1.18
369,8091,Product D,10,7.12
370,9090,Product A,8,38.25
371,7263,Product B,4,44.75
372,86,Product E,9,34.08
373,471,Product D,9,49.25
374,8400,Product B,5,28.39
375,8754,Product E,3,12.45
376,6140,Product D,10,9.52
377,3603,Product E,4,46.44
378,1807,Product A,3,5.09
379,6200,Product C,9,28.58
380,8138,Product C,5,43.58
381,5597,Product B,4,10.65
382,2365,Product B,3,43.35
383,9511,Product A,7,47.63
384,7397,Product D,2,4.51
385,5582,Product E,4,40.21
386,3731,Product A,6,19.07
387,1680,Product B,10,18.84
388,609,Product B,10,38.81
389,9539,Product E,3,19.95
390,9114,Product C,4,39.55
391,3628,Product E,10,38.36
392,9426,Product E,4,32.02
393,6066,Product E,6,47.19
394,7548,Product A,4,9.37
395,8282,Product B,1,34.97
396,3760,Product E,6,24.81
397,2897,Product C,6,5.38
398,9873,Product E,4,30.15
399,7100,Product E,7,40.05
400,7170,Product A,6,26.24
401,8358,Product E,6,41.65
402,5720,Product C,4,35.5
403,7360,Product E,4,45.96
404,7902,Product B,5,47.22
405,7796,Product A,6,31.51
406,6412,Product E,4,44.06
407,6572,Product B,7,9.16
408,9476,Product C,3,37.52
409,7904,Product B,1,30.21
410,3713,Product D,9,47.71
411,2934,Product E,2,29.87
412,738,Product C,7,2.67
413,5986,Product A,6,46.43
414,5644,Product E,10,5.79
415,6236,Product D,7,47.63
416,3815,Product D,7,1.79
417,144,Product C,5,2.07
418,7929,Product A,2,7.97
419,4383,Product B,9,23.79
420,3075,Product D,6,42.05
421,4776,Product E,3,9.33
422,172,Product D,5,9.99
423,5658,Product C,8,45.24
424,8845,Product A,6,41.91
425,5945,Product D,5,22.2
426,3736,Product B,2,31.2
427,5679,Product D,4,32.7
428,1852,Product C,3,23.43
429,9849,Product B,2,11.12
430,8381,Product C,5,17.29
431,6308,Product C,10,44.8
432,6131,Product D,9,12.59
433,601,Product C,4,36.97
434,1177,Product B,10,14.14
435,4904,Product E,9,1.09
436,1244,Product B,9,25.24
437,8750,Product D,10,29.21
438,2985,Product B,10,11.2
439,8027,Product A,7,19.83
440,5162,Product C,2,45.67
441,1918,Product A,9,28.75
442,965,Product D,9,23.54
443,4448,Product C,3,39.3
444,9287,Product E,3,9.35
445,581,Product D,7,14.91
446,1093,Product D,9,4.04
447,5078,Product D,9,40.41
448,9275,Product E,7,26.41
449,1832,Product D,4,15.84
450,7508,Product C,1,28.33
451,3848,Product B,10,12.04
452,5692,Product B,6,1.13
453,5759,Product D,7,9.0
454,4914,Product B,4,42.4
455,5081,Product E,7,5.24
456,8594,Product C,3,49.79
457,3566,Product D,2,22.75
458,4889,Product C,8,22.42
459,2256,Product B,10,11.25
460,1906,Product B,5,6.12
461,118,Product C,6,12.66
462,6146,Product C,3,40.74
463,7905,Product B,6,45.68
464,4718,Product B,8,3.79
465,1961,Product E,9,22.21
466,8103,Product E,10,36.06
467,9193,Product A,7,13.12
468,312,Product D,8,18.27
469,2439,Product E,2,17.9
470,9315,Product E,10,46.13
471,8085,Product E,4,37.55
472,5935,Product E,7,45.77
473,5500,Product C,7,4.72
474,8875,Product E,7,34.2
475,9027,Product E,3,27.13
476,8698,Product D,5,39.33
477,8670,Product A,7,24.26
478,1779,Product A,9,13.38
479,254,Product C,4,33.54
480,2210,Product A,5,36.72
481,4412,Product C,9,5.73
482,3977,Product C,10,10.09
483,8485,Product A,4,26.38
484,8651,Product D,8,34.09
485,9513,Product C,10,3.13
486,6371,Product A,6,17.56
487,6414,Product C,9,48.88
488,8248,Product E,2,42.53
489,8660,Product C,7,24.29
490,1924,Product B,9,35.65
491,4600,Product E,10,45.42
492,2000,Product A,9,46.37
493,4852,Product D,4,16.16
494,5740,Product A,2,20.04
495,7319,Product A,10,13.75
496,7040,Product E,8,39.68
497,9156,Product A,10,2.24
498,9822,Product C,7,15.01
499,7621,Product D,1,16.7
500,4528,Product E,3,18.01
501,2544,Product A,4,36.94
502,5786,Product D,3,21.9
503,6633,Product D,10,32.56
504,850,Product B,3,42.05
505,7559,Product D,2,15.29
506,5840,Product C,7,38.41
507,9946,Product B,8,46.15
508,5185,Product D,3,40.25
509,5376,Product D,6,15.79
510,1185,Product C,6,29.42
511,4634,Product E,2,9.86
512,7354,Product D,6,36.57
513,1277,Product A,7,1.92
514,1614,Product A,6,43.46
515,9867,Product C,1,6.11
516,8257,Product D,9,45.61
517,3273,Product B,7,25.31
518,8250,Product A,9,11.3
519,9684,Product C,9,3.29
520,5795,Product E,3,39.22
521,7420,Product D,3,17.66
522,4812,Product B,6,10.07
523,7928,Product E,10,38.99
524,8631,Product B,8,41.37
525,5712,Product D,3,19.63
526,423,Product C,5,43.91
527,1456,Product C,4,1.24
528,7862,Product C,5,29.95
529,6381,Product C,7,3.03
530,4601,Product E,2,18.6
531,4740,Product A,8,39.14
532,4834,Product D,9,47.7
533,7357,Product C,8,25.84
534,7170,Product B,3,28.58
535,411,Product B,10,23.6
536,6389,Product B,7,25.56
537,3583,Product A,1,24.09
538,4492,Product E,2,21.41
539,9019,Product B,7,6.39
540,1215,Product B,1,4.63
541,478,Product E,9,7.68
542,35,Product D,3,29.12
543,2907,Product A,1,11.55
544,502,Product A,2,48.51
545,3134,Product A,2,37.51
546,5169,Product D,8,21.66
547,6233,Product C,9,44.24
548,3573,Product C,4,32.52
549,6701,Product E,8,11.26
550,6730,Product C,2,20.7
551,1494,Product D,6,9.42
552,6251,Product A,1,29.07
553,3879,Product E,6,18.51
554,245,Product B,10,46.67
555,1664,Product E,4,14.72
556,6724,Product C,10,19.08
557,6310,Product C,9,8.64
558,5175,Product B,8,17.2
559,1074,Product B,8,39.62
560,4865,Product D,1,49.05
561,5443,Product E,8,47.61
562,9619,Product D,1,41.12
563,3453,Product C,7,16.82
564,4809,Product A,10,9.35
565,4462,Product A,9,3.1
566,4437,Product E,6,38.74
567,2541,Product E,5,6.35
568,2434,Product C,9,9.94
569,4438,Product C,4,1.34
570,5686,Product D,2,10.78
571,2134,Product E,2,20.9
572,6786,Product E,1,20.55
573,7840,Product C,9,40.08
574,8339,Product B,9,26.87
575,7305,Product E,1,5.22
576,2113,Product A,2,14.74
577,7970,Product D,6,39.15
578,1003,Product A,9,41.24
579,597,Product C,2,43.59
580,6379,Product D,7,17.25
581,2118,Product B,5,19.14
582,9760,Product A,5,45.58
583,2306,Product C,4,44.68
584,7329,Product E,4,17.29
585,6731,Product C,8,12.67
586,1410,Product B,1,34.99
587,537,Product E,6,1.35
588,1352,Product E,8,5.42
589,380,Product D,7,36.56
590,7928,Product D,1,2.51
591,1327,Product A,7,23.36
592,8568,Product C,4,24.52
593,2043,Product D,9,21.3
594,8590,Product A,8,32.48
595,8073,Product D,3,41.77
596,5478,Product A,1,38.83
597,143,Product E,1,10.98
598,9269,Product A,2,28.43
599,3309,Product B,7,24.1
600,2461,Product B,4,42.01
601,9164,Product A,8,11.58
602,1579,Product B,6,10.26
603,4246,Product C,6,29.0
604,613,Product A,5,21.93
605,1193,Product D,10,31.54
606,2656,Product A,4,22.07
607,8610,Product A,6,38.52
608,1186,Product B,8,25.24
609,8682,Product D,2,44.37
610,5916,Product B,2,13.41
611,6367,Product D,3,9.41
612,6299,Product A,9,24.86
613,2672,Product E,9,12.81
614,1556,Product C,9,10.82
615,7315,Product D,1,35.91
616,625,Product A,6,40.98
617,4469,Product A,3,36.67
618,5141,Product A,7,22.96
619,8334,Product A,2,25.16
620,8582,Product B,1,36.38
621,1491,Product B,2,41.78
622,1198,Product C,6,5.17
623,6671,Product D,5,1.73
624,4215,Product E,8,37.52
625,7210,Product C,10,15.79
626,2774,Product E,9,5.22
627,7479,Product B,2,12.5
628,6862,Product B,4,40.3
629,9043,Product B,3,6.58
630,4007,Product A,1,21.08
631,462,Product D,1,42.36
632,9086,Product C,1,5.46
633,4064,Product A,3,30.09
634,6886,Product C,3,26.24
635,5467,Product D,1,32.41
636,7221,Product D,8,41.32
637,3657,Product A,3,37.85
638,9626,Product D,5,3.24
639,146,Product A,4,22.47
640,5354,Product E,7,42.85
641,2060,Product E,8,20.96
642,6452,Product D,10,32.5
643,6346,Product A,1,44.66
644,7487,Product E,1,24.09
645,4118,Product E,4,5.44
646,7112,Product C,9,39.27
647,3136,Product B,3,32.86
648,9950,Product B,2,10.73
649,6185,Product E,5,47.2
650,9798,Product C,7,39.81
651,4737,Product B,3,17.92
652,7393,Product A,9,18.53
653,6417,Product C,6,7.12
654,142,Product D,9,7.06
655,7246,Product C,2,19.3
656,2107,Product A,1,13.75
657,3929,Product B,7,39.43
658,7217,Product E,10,42.71
659,5188,Product E,5,8.53
660,6400,Product B,10,21.75
661,4647,Product B,6,28.05
662,6542,Product B,6,27.81
663,9753,Product B,9,28.66
664,4238,Product D,6,32.28
665,9351,Product D,1,43.34
666,5125,Product A,1,46.87
667,63,Product C,10,39.31
668,9636,Product B,8,33.7
669,4795,Product B,4,3.49
670,4879,Product B,10,36.64
671,1966,Product B,10,28.14
672,2026,Product C,2,21.33
673,5759,Product D,5,47.6
674,1683,Product A,7,45.36
675,8438,Product C,6,10.88
676,9560,Product D,2,39.44
677,8716,Product E,2,24.06
678,6046,Product B,8,35.13
679,1525,Product D,3,21.44
680,9986,Product D,5,12.96
681,4686,Product A,4,32.69
682,9853,Product E,3,39.05
683,8705,Product D,4,4.13
684,3982,Product E,9,12.14
685,7265,Product A,10,29.39
686,8922,Product E,5,24.19
687,9810,Product B,6,41.93
688,8811,Product E,3,1.05
689,3623,Product C,3,9.93
690,7401,Product B,8,16.68
691,8518,Product C,3,44.34
692,3508,Product D,1,43.04
693,192,Product B,3,44.51
694,5926,Product C,6,35.95
695,5111,Product A,2,39.07
696,3214,Product A,2,48.46
697,8748,Product E,7,33.39
698,3713,Product C,10,16.09
699,3128,Product B,6,32.03
700,1271,Product C,1,5.32
701,9074,Product A,4,26.98
702,920,Product B,5,49.9
703,6576,Product D,2,17.65
704,5744,Product C,4,3.76
705,5948,Product A,10,6.43
706,886,Product B,5,8.77
707,5852,Product E,2,29.59
708,8055,Product A,5,32.32
709,4979,Product E,7,2.67
710,8780,Product D,3,11.43
711,2774,Product B,10,36.47
712,4602,Product B,9,22.78
713,4370,Product B,9,15.27
714,2989,Product D,9,8.95
715,4412,Product D,10,1.99
716,2188,Product C,7,44.51
717,7282,Product A,5,11.52
718,8004,Product D,4,49.68
719,8616,Product C,6,9.86
720,9910,Product B,10,46.33
721,4206,Product A,2,21.05
722,5419,Product B,2,7.44
723,9044,Product B,10,21.5
724,5057,Product B,7,29.47
725,2879,Product B,1,3.48
726,8796,Product C,7,49.03
727,7091,Product D,9,26.45
728,5213,Product B,9,43.1
729,2600,Product E,5,38.16
730,1508,Product B,4,9.37
731,5446,Product C,9,39.36
732,2881,Product A,2,35.91
733,7483,Product B,6,34.85
734,6119,Product C,9,10.46
735,2591,Product B,7,8.2
736,7673,Product D,6,39.71
737,6827,Product C,5,14.07
738,181,Product D,2,49.7
739,6585,Product E,7,38.66
740,2462,Product D,9,26.2
741,3233,Product C,1,19.5
742,2442,Product C,5,26.54
743,4400,Product B,8,46.58
744,8664,Product E,4,21.67
745,1675,Product C,9,33.82
746,1461,Product B,6,2.55
747,8107,Product E,1,16.13
748,2026,Product A,10,25.95
749,108,Product E,8,1.72
750,660,Product E,7,14.38
751,7825,Product E,6,2.79
752,2466,Product D,5,33.84
753,6361,Product B,1,15.86
754,9656,Product A,5,12.19
755,5997,Product B,5,13.39
756,842,Product B,5,33.51
757,4865,Product B,6,38.77
758,5061,Product C,10,26.04
759,9109,Product A,8,24.58
760,6543,Product D,5,31.37
761,7958,Product B,8,22.54
762,2462,Product B,4,12.3
763,3713,Product E,10,41.39
764,3006,Product C,10,13.51
765,3472,Product D,9,39.38
766,8726,Product E,1,19.89
767,7202,Product C,2,23.33
768,8752,Product C,4,29.56
769,3144,Product E,10,14.8
770,6669,Product B,5,47.72
771,2471,Product D,3,12.57
772,2253,Product B,1,44.97
773,3570,Product C,1,40.27
774,3892,Product B,6,25.73
775,2458,Product C,10,25.96
776,9867,Product A,9,33.25
777,4645,Product E,7,46.17
778,8498,Product B,6,12.64
779,937,Product A,6,32.38
780,9012,Product B,3,21.16
781,4552,Product D,10,31.16
782,519,Product B,3,36.21
783,9736,Product D,1,26.6
784,8150,Product C,7,8.96
785,2413,Product E,4,42.61
786,6843,Product A,8,32.53
787,2592,Product D,5,2.71
788,7806,Product C,10,35.23
789,5839,Product A,4,36.74
790,303,Product E,1,33.89
791,7852,Product D,5,41.81
792,7896,Product E,3,27.47
793,9511,Product A,3,25.11
794,3535,Product B,5,3.76
795,1058,Product D,4,41.07
796,5675,Product C,9,8.74
797,1524,Product E,5,23.0
798,1808,Product C,9,35.33
799,2855,Product C,8,42.27
800,7229,Product A,6,36.99
801,6775,Product E,6,27.16
802,3310,Product C,4,24.68
803,3070,Product E,8,31.34
804,3458,Product E,9,37.32
805,5128,Product B,2,11.22
806,2201,Product D,10,41.52
807,7901,Product B,5,13.51
808,8744,Product E,1,13.51
809,2878,Product E,4,38.03
810,921,Product E,4,21.9
811,2509,Product D,2,14.34
812,6748,Product D,3,25.36
813,1200,Product C,5,24.43
814,6125,Product E,4,9.53
815,9070,Product C,8,3.49
816,2071,Product B,7,28.4
817,3140,Product A,10,7.19
818,6127,Product E,4,20.29
819,3748,Product E,3,3.96
820,4530,Product E,9,27.07
821,7458,Product C,4,37.08
822,8587,Product C,2,26.85
823,1930,Product A,6,26.42
824,3919,Product E,1,30.63
825,5914,Product D,3,29.98
826,2152,Product C,2,33.17
827,9332,Product A,8,35.12
828,799,Product E,3,15.52
829,3775,Product B,10,41.43
830,4224,Product E,6,48.98
831,1154,Product C,1,23.36
832,1350,Product E,10,9.9
833,8599,Product D,4,8.28
834,4891,Product B,6,27.09
835,4918,Product A,10,47.27
836,7010,Product D,5,45.46
837,7012,Product C,10,23.47
838,7512,Product B,3,33.61
839,7154,Product C,9,33.5
840,1385,Product D,9,30.38
841,5538,Product E,5,35.97
842,4063,Product E,4,13.62
843,5439,Product E,5,25.06
844,1893,Product E,1,6.18
845,9868,Product C,6,13.65
846,3925,Product C,4,44.44
847,2651,Product E,1,46.83
848,7404,Product E,9,12.65
849,8070,Product A,6,33.1
850,9656,Product D,1,13.87
851,2852,Product B,4,11.81
852,3838,Product C,8,43.23
853,4080,Product A,8,12.46
854,3359,Product C,5,49.85
855,4235,Product C,7,6.9
856,808,Product E,9,20.33
857,9357,Product C,4,40.18
858,8811,Product E,5,33.27
859,8085,Product B,7,31.58
860,6717,Product D,2,11.72
861,2161,Product D,4,12.44
862,6235,Product A,5,28.4
863,7393,Product A,8,29.61
864,5896,Product E,4,11.35
865,4653,Product D,1,27.89
866,4578,Product B,2,4.24
867,3531,Product B,10,39.96
868,9147,Product C,1,26.24
869,4701,Product A,9,26.98
870,892,Product E,7,46.11
871,844,Product A,4,29.17
872,1467,Product A,2,21.3
873,7026,Product A,5,39.71
874,4951,Product A,7,4.46
875,5412,Product C,6,18.55
876,8743,Product B,10,9.73
877,6130,Product B,2,46.18
878,5499,Product A,1,30.01
879,1019,Product E,10,12.34
880,1281,Product E,10,22.79
881,2051,Product A,7,40.58
882,8043,Product C,9,45.47
883,9637,Product B,7,32.4
884,6148,Product C,8,22.41
885,4526,Product C,3,26.56
886,209,Product D,4,6.57
887,1558,Product B,9,26.93
888,9355,Product E,8,39.18
889,7207,Product D,10,23.13
890,9218,Product D,4,9.44
891,3444,Product D,4,14.36
892,7846,Product A,5,14.42
893,692,Product A,6,4.04
894,395,Product E,2,40.85
895,4816,Product C,2,35.69
896,5799,Product A,5,13.45
897,5129,Product C,1,28.9
898,8871,Product D,6,47.19
899,9355,Product D,8,48.87
900,4297,Product A,2,11.37
901,9290,Product A,3,10.71
902,4549,Product D,9,10.39
903,4073,Product B,8,2.6
904,8145,Product C,6,43.68
905,5572,Product B,3,31.62
906,9403,Product B,10,38.85
907,871,Product E,2,11.82
908,4420,Product C,5,30.93
909,9863,Product E,4,29.1
910,271,Product B,6,12.28
911,3233,Product C,3,43.02
912,6256,Product E,10,49.86
913,480,Product A,6,29.82
914,8975,Product C,3,17.5
915,9689,Product C,1,3.43
916,512,Product D,5,27.33
917,2304,Product A,1,8.39
918,817,Product D,10,19.06
919,6549,Product C,5,23.81
920,4218,Product B,10,31.13
921,2379,Product B,10,31.06
922,9636,Product D,9,38.7
923,4683,Product A,5,21.66
924,5503,Product C,2,45.3
925,7144,Product B,2,28.1
926,29,Product E,4,48.76
927,5897,Product B,8,20.74
928,5272,Product D,4,19.68
929,1815,Product C,9,37.91
930,3303,Product E,9,11.05
931,870,Product B,6,3.5
932,5178,Product D,8,7.5
933,8904,Product B,7,7.72
934,3238,Product C,10,28.38
935,7742,Product C,6,5.52
936,4539,Product A,8,22.81
