market_data_id,market_trend,economic_indicator,external_factor,value
71,Bearish,Unemployment Rate,Oil Prices,8442
72,Bullish,Trade Balance,Stock Market,8960
73,Bearish,Consumer Price Index,Political Stability,6917
74,Bullish,GDP,Political Stability,7807
75,Bullish,Trade Balance,Consumer Confidence,3204
76,Bullish,Employment Rate,Consumer Confidence,9316
77,Sideways,Employment Rate,Oil Prices,2205
78,Bullish,Unemployment Rate,Stock Market,4715
79,Bearish,Industrial Production,Interest Rates,4380
80,Bearish,Retail Sales,Consumer Confidence,5982
81,Bullish,Unemployment Rate,Interest Rates,7652
82,Bearish,Employment Rate,Exchange Rates,8695
83,Bullish,Employment Rate,Oil Prices,2429
84,Bullish,Retail Sales,Interest Rates,5446
85,Sideways,Retail Sales,Oil Prices,7383
86,Sideways,Consumer Price Index,Consumer Confidence,2353
87,Sideways,Consumer Price Index,Stock Market,3333
88,Sideways,Trade Balance,Political Stability,4743
89,Bullish,Employment Rate,Oil Prices,3139
90,Bullish,Unemployment Rate,Exchange Rates,8321
91,Bearish,Retail Sales,Exchange Rates,7454
92,Bearish,Industrial Production,Exchange Rates,1413
93,Sideways,Unemployment Rate,Political Stability,5313
94,Bearish,Employment Rate,Exchange Rates,6426
95,Bullish,GDP,Political Stability,9699
96,Sideways,Trade Balance,Stock Market,9934
97,Sideways,Trade Balance,Stock Market,7772
98,Bearish,Retail Sales,Stock Market,7977
99,Bullish,Trade Balance,Consumer Confidence,7134
100,Bullish,Employment Rate,Stock Market,1775
101,Sideways,Industrial Production,Stock Market,3130
102,Sideways,Trade Balance,Interest Rates,9723
103,Bearish,Unemployment Rate,Consumer Confidence,2465
104,Sideways,Retail Sales,Interest Rates,1660
105,Bearish,Housing Starts,Exchange Rates,3669
106,Bullish,Retail Sales,Interest Rates,2140
107,Sideways,Unemployment Rate,Political Stability,5427
108,Bearish,Industrial Production,Interest Rates,7720
109,Sideways,Industrial Production,Interest Rates,6231
110,Sideways,Trade Balance,Oil Prices,5811
111,Bearish,Consumer Price Index,Oil Prices,8312
112,Bullish,Consumer Price Index,Consumer Confidence,6912
113,Bullish,Industrial Production,Exchange Rates,6902
114,Bearish,Industrial Production,Interest Rates,3237
115,Bullish,Trade Balance,Interest Rates,4175
116,Bearish,Housing Starts,Exchange Rates,4020
117,Bullish,Unemployment Rate,Exchange Rates,2342
118,Sideways,Unemployment Rate,Stock Market,6324
119,Bullish,Retail Sales,Oil Prices,2106
120,Bullish,Retail Sales,Interest Rates,3083
121,Bearish,Retail Sales,Interest Rates,8990
122,Sideways,Inflation Rate,Political Stability,9098
123,Bullish,Inflation Rate,Political Stability,2954
124,Sideways,Employment Rate,Interest Rates,8921
125,Bullish,Unemployment Rate,Political Stability,4346
126,Bearish,Employment Rate,Consumer Confidence,8534
127,Bullish,Unemployment Rate,Political Stability,5342
128,Sideways,Consumer Price Index,Interest Rates,9519
129,Bullish,Trade Balance,Consumer Confidence,7050
130,Sideways,Housing Starts,Political Stability,9223
131,Sideways,Inflation Rate,Political Stability,3957
132,Bullish,Consumer Price Index,Consumer Confidence,9731
133,Sideways,Unemployment Rate,Oil Prices,6138
134,Sideways,Industrial Production,Consumer Confidence,1248
135,Bearish,Industrial Production,Oil Prices,9955
136,Bullish,Employment Rate,Stock Market,9915
137,Sideways,Trade Balance,Consumer Confidence,1956
138,Bullish,Trade Balance,Consumer Confidence,7563
139,Sideways,Inflation Rate,Stock Market,3759
140,Sideways,GDP,Oil Prices,5192
141,Sideways,Consumer Price Index,Oil Prices,6083
142,Sideways,GDP,Exchange Rates,4158
143,Bullish,Trade Balance,Political Stability,5724
144,Bullish,Unemployment Rate,Stock Market,3856
145,Bullish,Unemployment Rate,Interest Rates,5926
146,Bearish,GDP,Oil Prices,7153
147,Bearish,Unemployment Rate,Oil Prices,8690
148,Bearish,Industrial Production,Consumer Confidence,6892
149,Sideways,Trade Balance,Exchange Rates,7498
150,Bullish,Employment Rate,Oil Prices,1061
151,Bullish,Inflation Rate,Interest Rates,7381
152,Bullish,Industrial Production,Political Stability,9308
153,Bullish,Inflation Rate,Exchange Rates,8343
154,Sideways,Housing Starts,Consumer Confidence,2372
155,Bullish,Retail Sales,Consumer Confidence,5851
156,Sideways,Retail Sales,Exchange Rates,8187
157,Sideways,Trade Balance,Interest Rates,7014
158,Bearish,Retail Sales,Stock Market,1706
159,Bearish,Consumer Price Index,Oil Prices,8392
160,Sideways,Inflation Rate,Interest Rates,7671
161,Bullish,Inflation Rate,Consumer Confidence,5817
162,Bullish,Employment Rate,Political Stability,3750
163,Bullish,Trade Balance,Political Stability,9291
164,Bullish,Consumer Price Index,Stock Market,1714
165,Bullish,Housing Starts,Consumer Confidence,2013
166,Sideways,Employment Rate,Oil Prices,8333
167,Bullish,Housing Starts,Stock Market,1682
168,Sideways,Retail Sales,Consumer Confidence,7163
169,Bullish,GDP,Interest Rates,6773
170,Sideways,GDP,Interest Rates,5203
171,Bullish,Inflation Rate,Exchange Rates,2964
172,Bullish,Trade Balance,Interest Rates,7243
173,Bearish,Employment Rate,Consumer Confidence,5436
174,Bearish,Employment Rate,Political Stability,2823
175,Bearish,Unemployment Rate,Consumer Confidence,3636
176,Bearish,Employment Rate,Political Stability,1637
177,Bearish,GDP,Stock Market,6141
178,Bearish,Consumer Price Index,Political Stability,3668
179,Bullish,Industrial Production,Interest Rates,7406
180,Bearish,Consumer Price Index,Oil Prices,4133
181,Bullish,Employment Rate,Consumer Confidence,1295
182,Sideways,Employment Rate,Exchange Rates,2989
183,Bearish,Industrial Production,Oil Prices,3013
184,Sideways,GDP,Consumer Confidence,5350
185,Bearish,Retail Sales,Consumer Confidence,6260
186,Bearish,Unemployment Rate,Consumer Confidence,1963
187,Bullish,GDP,Oil Prices,4289
188,Bearish,Industrial Production,Political Stability,1008
189,Bearish,Consumer Price Index,Stock Market,1220
190,Bullish,Unemployment Rate,Political Stability,1727
191,Bullish,GDP,Political Stability,1329
192,Sideways,Trade Balance,Political Stability,9992
193,Bullish,Trade Balance,Political Stability,9501
194,Bearish,Employment Rate,Oil Prices,1224
195,Sideways,Retail Sales,Oil Prices,6364
196,Sideways,Consumer Price Index,Stock Market,5478
197,Sideways,Unemployment Rate,Exchange Rates,5021
198,Bearish,Housing Starts,Political Stability,7656
199,Bullish,Industrial Production,Stock Market,8084
200,Bearish,Employment Rate,Consumer Confidence,6999
201,Sideways,Industrial Production,Oil Prices,8185
202,Sideways,Trade Balance,Political Stability,3293
203,Bearish,Housing Starts,Interest Rates,2753
204,Sideways,Consumer Price Index,Interest Rates,6754
205,Bullish,Housing Starts,Oil Prices,3681
206,Bullish,Inflation Rate,Exchange Rates,5798
207,Sideways,GDP,Consumer Confidence,5261
208,Bearish,Housing Starts,Stock Market,2551
209,Sideways,Retail Sales,Oil Prices,3844
210,Bearish,Housing Starts,Oil Prices,1707
211,Sideways,Inflation Rate,Stock Market,5069
212,Bullish,Employment Rate,Stock Market,5823
213,Sideways,Employment Rate,Exchange Rates,3758
214,Bullish,Inflation Rate,Interest Rates,3385
215,Bearish,Retail Sales,Political Stability,1138
216,Bearish,Industrial Production,Consumer Confidence,8977
217,Sideways,Inflation Rate,Exchange Rates,3542
218,Bullish,Retail Sales,Interest Rates,2443
219,Sideways,Unemployment Rate,Consumer Confidence,5047
220,Bearish,Housing Starts,Stock Market,2545
221,Sideways,Unemployment Rate,Political Stability,7979
222,Sideways,Trade Balance,Stock Market,8221
223,Bearish,Employment Rate,Political Stability,7728
224,Bearish,Consumer Price Index,Interest Rates,6216
225,Bearish,Consumer Price Index,Exchange Rates,4179
226,Bearish,Retail Sales,Consumer Confidence,8358
227,Sideways,Trade Balance,Oil Prices,3849
228,Bullish,Unemployment Rate,Stock Market,6899
229,Bearish,GDP,Consumer Confidence,3492
230,Bullish,Consumer Price Index,Interest Rates,7833
231,Sideways,GDP,Oil Prices,3532
232,Sideways,Consumer Price Index,Exchange Rates,7906
233,Bearish,Unemployment Rate,Political Stability,4477
234,Bearish,Inflation Rate,Stock Market,9168
235,Bullish,GDP,Political Stability,9664
236,Bearish,Trade Balance,Consumer Confidence,6057
237,Sideways,Employment Rate,Consumer Confidence,7146
238,Bearish,Retail Sales,Consumer Confidence,8534
239,Bullish,Inflation Rate,Interest Rates,3301
240,Bullish,Housing Starts,Exchange Rates,4407
241,Sideways,Trade Balance,Political Stability,1034
242,Bullish,Trade Balance,Exchange Rates,6166
243,Sideways,Retail Sales,Interest Rates,5531
244,Bullish,Unemployment Rate,Exchange Rates,9950
245,Bullish,Retail Sales,Stock Market,3450
246,Bullish,Unemployment Rate,Political Stability,3601
247,Sideways,Inflation Rate,Oil Prices,8564
248,Bullish,Inflation Rate,Political Stability,4528
249,Sideways,Inflation Rate,Political Stability,7519
250,Sideways,GDP,Consumer Confidence,7719
251,Bearish,Trade Balance,Exchange Rates,3292
252,Sideways,Unemployment Rate,Exchange Rates,6332
253,Sideways,Housing Starts,Political Stability,1792
254,Sideways,Retail Sales,Stock Market,8263
255,Bearish,Retail Sales,Consumer Confidence,7445
256,Sideways,GDP,Exchange Rates,7017
257,Bearish,Consumer Price Index,Oil Prices,9991
258,Sideways,Retail Sales,Oil Prices,2678
259,Bearish,Consumer Price Index,Exchange Rates,4529
260,Bullish,Retail Sales,Oil Prices,8247
261,Bearish,Consumer Price Index,Interest Rates,2698
262,Bullish,Unemployment Rate,Consumer Confidence,1540
263,Bearish,Unemployment Rate,Political Stability,7523
264,Bullish,Industrial Production,Consumer Confidence,6849
265,Bullish,GDP,Stock Market,5722
266,Bearish,Consumer Price Index,Consumer Confidence,3636
267,Bearish,Housing Starts,Stock Market,9929
268,Bullish,Trade Balance,Political Stability,6732
269,Bullish,Retail Sales,Interest Rates,4335
270,Bullish,Retail Sales,Interest Rates,9162
271,Sideways,Inflation Rate,Consumer Confidence,3521
272,Bearish,Trade Balance,Interest Rates,9603
273,Sideways,Trade Balance,Political Stability,6161
274,Bullish,Consumer Price Index,Exchange Rates,3474
275,Bearish,Unemployment Rate,Stock Market,8814
276,Bullish,GDP,Oil Prices,8731
277,Sideways,Inflation Rate,Consumer Confidence,7315
278,Bearish,Industrial Production,Consumer Confidence,4528
279,Bearish,Housing Starts,Consumer Confidence,6531
280,Bearish,Housing Starts,Exchange Rates,8980
281,Bearish,Housing Starts,Stock Market,7761
282,Bullish,Housing Starts,Stock Market,1357
283,Sideways,Unemployment Rate,Exchange Rates,8644
284,Bearish,Employment Rate,Stock Market,6010
285,Bullish,GDP,Interest Rates,6360
286,Bullish,Trade Balance,Consumer Confidence,9098
287,Bullish,Industrial Production,Exchange Rates,8156
288,Bearish,Industrial Production,Political Stability,7224
289,Sideways,Employment Rate,Consumer Confidence,3097
290,Bearish,GDP,Oil Prices,1235
291,Sideways,Inflation Rate,Political Stability,7003
292,Bullish,Consumer Price Index,Political Stability,5268
293,Bearish,Unemployment Rate,Exchange Rates,8527
294,Sideways,Housing Starts,Interest Rates,5394
295,Bearish,Inflation Rate,Exchange Rates,3346
296,Sideways,Inflation Rate,Interest Rates,7291
297,Sideways,Employment Rate,Political Stability,2215
298,Bullish,Trade Balance,Interest Rates,6999
299,Bullish,Housing Starts,Oil Prices,9992
300,Sideways,Housing Starts,Consumer Confidence,6322
301,Bearish,Consumer Price Index,Oil Prices,1522
302,Sideways,Consumer Price Index,Stock Market,7193
303,Bearish,Unemployment Rate,Political Stability,1779
304,Sideways,Inflation Rate,Interest Rates,2416
305,Sideways,Trade Balance,Oil Prices,2433
306,Bullish,Inflation Rate,Exchange Rates,4276
307,Bearish,GDP,Stock Market,5225
308,Sideways,Retail Sales,Exchange Rates,2889
309,Bullish,Employment Rate,Political Stability,6315
310,Bearish,Consumer Price Index,Exchange Rates,8725
311,Bearish,Unemployment Rate,Interest Rates,1917
312,Bullish,Inflation Rate,Oil Prices,7989
313,Sideways,Retail Sales,Interest Rates,3782
314,Sideways,Industrial Production,Oil Prices,8773
315,Sideways,Trade Balance,Consumer Confidence,4660
316,Sideways,GDP,Interest Rates,7108
317,Bearish,Retail Sales,Exchange Rates,5076
318,Bearish,Industrial Production,Consumer Confidence,4082
319,Bearish,Retail Sales,Consumer Confidence,9526
320,Bullish,Consumer Price Index,Consumer Confidence,7484
321,Bearish,Unemployment Rate,Stock Market,4090
322,Bearish,Consumer Price Index,Consumer Confidence,2123
323,Bullish,Inflation Rate,Exchange Rates,1353
324,Bullish,Unemployment Rate,Oil Prices,9860
325,Sideways,Unemployment Rate,Oil Prices,9652
326,Bearish,Consumer Price Index,Interest Rates,1180
327,Bearish,Unemployment Rate,Interest Rates,8193
328,Bullish,Unemployment Rate,Stock Market,2711
329,Sideways,GDP,Stock Market,5773
330,Sideways,Inflation Rate,Exchange Rates,3267
331,Sideways,Retail Sales,Stock Market,6697
332,Sideways,Retail Sales,Exchange Rates,2376
333,Sideways,Retail Sales,Stock Market,8862
334,Bearish,Housing Starts,Oil Prices,3917
335,Sideways,Unemployment Rate,Stock Market,3091
336,Bullish,Consumer Price Index,Oil Prices,4014
337,Sideways,Inflation Rate,Exchange Rates,4142
338,Sideways,Consumer Price Index,Consumer Confidence,5086
339,Bullish,Retail Sales,Stock Market,9776
340,Bullish,Industrial Production,Oil Prices,2180
341,Sideways,Trade Balance,Oil Prices,9266
342,Bullish,Consumer Price Index,Consumer Confidence,5230
343,Sideways,GDP,Stock Market,4962
344,Bullish,Trade Balance,Political Stability,3269
345,Sideways,GDP,Stock Market,7613
346,Bearish,Consumer Price Index,Exchange Rates,6654
347,Bullish,GDP,Oil Prices,5742
348,Bearish,Trade Balance,Interest Rates,2243
349,Bullish,Industrial Production,Political Stability,4140
350,Bearish,Employment Rate,Exchange Rates,7759
351,Bearish,Inflation Rate,Exchange Rates,2391
352,Bullish,Industrial Production,Political Stability,6836
353,Bullish,Industrial Production,Interest Rates,4870
354,Bearish,Unemployment Rate,Oil Prices,9941
355,Sideways,Housing Starts,Political Stability,6181
356,Bearish,Housing Starts,Oil Prices,1153
357,Bullish,Inflation Rate,Political Stability,7313
358,Bearish,Housing Starts,Oil Prices,6467
359,Bearish,Unemployment Rate,Consumer Confidence,7376
360,Bearish,Inflation Rate,Oil Prices,6308
361,Bearish,Retail Sales,Interest Rates,6179
362,Bearish,Retail Sales,Political Stability,2420
363,Bearish,Housing Starts,Political Stability,3056
364,Bullish,Inflation Rate,Political Stability,1299
365,Sideways,GDP,Stock Market,5332
366,Sideways,Industrial Production,Oil Prices,2357
367,Bullish,Unemployment Rate,Exchange Rates,5912
368,Bearish,Industrial Production,Oil Prices,6966
369,Bearish,GDP,Exchange Rates,8162
370,Sideways,Inflation Rate,Interest Rates,9903
371,Bearish,GDP,Oil Prices,8048
372,Sideways,Trade Balance,Exchange Rates,3839
373,Bearish,Consumer Price Index,Exchange Rates,2784
374,Sideways,Consumer Price Index,Political Stability,8970
375,Sideways,Housing Starts,Stock Market,8564
376,Sideways,Retail Sales,Oil Prices,1658
377,Bullish,Housing Starts,Stock Market,5110
378,Bullish,Employment Rate,Stock Market,3010
379,Bearish,Retail Sales,Exchange Rates,4544
380,Sideways,Housing Starts,Interest Rates,3642
381,Bullish,Inflation Rate,Exchange Rates,6371
382,Bullish,Retail Sales,Oil Prices,3876
383,Bullish,Industrial Production,Consumer Confidence,9305
384,Sideways,Unemployment Rate,Stock Market,2973
385,Sideways,Trade Balance,Stock Market,8008
386,Bearish,Unemployment Rate,Stock Market,3361
387,Bullish,Inflation Rate,Consumer Confidence,4459
388,Sideways,Housing Starts,Political Stability,7473
389,Bearish,Trade Balance,Stock Market,7166
390,Bullish,Industrial Production,Interest Rates,7680
391,Sideways,Retail Sales,Consumer Confidence,5505
392,Bearish,Inflation Rate,Oil Prices,2432
393,Bearish,Trade Balance,Exchange Rates,8439
394,Bullish,Inflation Rate,Exchange Rates,5066
395,Bullish,GDP,Consumer Confidence,8775
396,Bearish,GDP,Political Stability,4065
397,Bullish,Inflation Rate,Interest Rates,9613
398,Sideways,Consumer Price Index,Interest Rates,9170
399,Bearish,Consumer Price Index,Oil Prices,9558
400,Bearish,Inflation Rate,Stock Market,7402
401,Bearish,GDP,Exchange Rates,5817
402,Sideways,Inflation Rate,Consumer Confidence,9362
403,Bearish,Consumer Price Index,Oil Prices,7065
404,Sideways,Trade Balance,Exchange Rates,3823
405,Bullish,Consumer Price Index,Political Stability,5540
406,Sideways,Industrial Production,Consumer Confidence,2257
407,Bearish,Unemployment Rate,Oil Prices,8382
408,Bullish,Consumer Price Index,Interest Rates,8287
409,Bearish,Inflation Rate,Interest Rates,3853
410,Bullish,Consumer Price Index,Oil Prices,4271
411,Sideways,Employment Rate,Stock Market,2936
412,Bullish,Housing Starts,Oil Prices,7025
413,Bullish,Consumer Price Index,Consumer Confidence,1772
414,Sideways,Consumer Price Index,Stock Market,5603
415,Bearish,Trade Balance,Oil Prices,5933
416,Sideways,Retail Sales,Political Stability,1633
417,Bearish,Housing Starts,Exchange Rates,8497
418,Bullish,GDP,Interest Rates,7217
419,Bearish,Consumer Price Index,Political Stability,5264
420,Bullish,Employment Rate,Oil Prices,2122
421,Sideways,Inflation Rate,Interest Rates,3201
422,Bullish,Consumer Price Index,Political Stability,9199
423,Bearish,Housing Starts,Interest Rates,8213
424,Bullish,Employment Rate,Stock Market,7093
425,Bearish,Trade Balance,Oil Prices,1042
426,Bearish,Unemployment Rate,Oil Prices,8613
427,Bullish,Consumer Price Index,Interest Rates,1381
428,Bearish,Housing Starts,Exchange Rates,3027
429,Bearish,Consumer Price Index,Political Stability,1740
430,Bullish,Inflation Rate,Political Stability,8239
431,Bearish,Consumer Price Index,Oil Prices,4884
432,Bearish,GDP,Oil Prices,7671
433,Bullish,Unemployment Rate,Interest Rates,4153
434,Bearish,Retail Sales,Political Stability,3033
435,Bearish,Retail Sales,Stock Market,5262
436,Bearish,GDP,Consumer Confidence,2136
437,Bullish,Industrial Production,Consumer Confidence,9385
438,Bearish,Unemployment Rate,Consumer Confidence,4665
439,Bullish,Employment Rate,Stock Market,3507
440,Bullish,Retail Sales,Oil Prices,5025
441,Bearish,Housing Starts,Political Stability,3411
442,Sideways,Employment Rate,Exchange Rates,9484
443,Sideways,Housing Starts,Political Stability,8837
444,Sideways,Trade Balance,Stock Market,9350
445,Bullish,Inflation Rate,Oil Prices,3867
446,Sideways,Retail Sales,Political Stability,8973
447,Bullish,Consumer Price Index,Oil Prices,1799
448,Bearish,Industrial Production,Interest Rates,1230
449,Bullish,Employment Rate,Consumer Confidence,4395
450,Sideways,Inflation Rate,Interest Rates,4158
451,Bearish,Retail Sales,Oil Prices,7715
452,Bearish,GDP,Stock Market,4352
453,Bearish,Retail Sales,Stock Market,4555
454,Bullish,Industrial Production,Consumer Confidence,6397
455,Bullish,Unemployment Rate,Exchange Rates,5276
456,Sideways,GDP,Exchange Rates,7465
457,Bearish,Housing Starts,Political Stability,9730
458,Bearish,Employment Rate,Stock Market,5096
459,Bearish,Employment Rate,Political Stability,7627
460,Sideways,GDP,Political Stability,6268
461,Bullish,Employment Rate,Interest Rates,1577
462,Sideways,Trade Balance,Consumer Confidence,5755
463,Sideways,GDP,Oil Prices,8426
464,Bullish,GDP,Consumer Confidence,4810
465,Sideways,Consumer Price Index,Exchange Rates,7043
466,Sideways,Industrial Production,Consumer Confidence,4111
467,Bullish,GDP,Consumer Confidence,8786
468,Sideways,Retail Sales,Political Stability,9849
469,Sideways,Retail Sales,Exchange Rates,5719
470,Bullish,GDP,Consumer Confidence,5376
471,Bullish,Inflation Rate,Oil Prices,8583
472,Sideways,GDP,Political Stability,4363
473,Bearish,Housing Starts,Consumer Confidence,2611
474,Bullish,Industrial Production,Exchange Rates,8056
475,Bullish,Housing Starts,Oil Prices,5293
476,Sideways,GDP,Stock Market,1887
477,Sideways,Industrial Production,Political Stability,4715
478,Sideways,Employment Rate,Oil Prices,8716
479,Bullish,GDP,Stock Market,6970
480,Bullish,Retail Sales,Interest Rates,7408
481,Sideways,Housing Starts,Oil Prices,2965
482,Bearish,GDP,Interest Rates,9307
483,Bullish,Industrial Production,Consumer Confidence,9550
484,Bearish,Trade Balance,Political Stability,6344
485,Bearish,Industrial Production,Oil Prices,7870
486,Bearish,Trade Balance,Political Stability,2799
487,Sideways,GDP,Oil Prices,1398
488,Bearish,Consumer Price Index,Oil Prices,3517
489,Bearish,Retail Sales,Exchange Rates,4411
490,Bullish,GDP,Consumer Confidence,7446
491,Bullish,Consumer Price Index,Consumer Confidence,7464
492,Bullish,Retail Sales,Interest Rates,7964
493,Bearish,Retail Sales,Political Stability,9467
494,Bearish,Retail Sales,Oil Prices,7884
495,Sideways,Retail Sales,Stock Market,4614
496,Sideways,Industrial Production,Interest Rates,8748
497,Bullish,Retail Sales,Stock Market,7419
498,Bullish,Retail Sales,Consumer Confidence,9113
499,Sideways,Unemployment Rate,Political Stability,7453
500,Sideways,Employment Rate,Political Stability,1523
501,Sideways,Housing Starts,Interest Rates,4370
502,Sideways,GDP,Consumer Confidence,9656
503,Bullish,Inflation Rate,Oil Prices,8499
504,Bearish,Housing Starts,Consumer Confidence,4793
505,Bearish,GDP,Oil Prices,7786
506,Sideways,Industrial Production,Political Stability,4437
507,Bullish,Industrial Production,Political Stability,2810
508,Sideways,Housing Starts,Political Stability,3993
509,Bearish,Unemployment Rate,Stock Market,6967
510,Bearish,Retail Sales,Political Stability,8379
511,Bullish,Unemployment Rate,Political Stability,8081
512,Bullish,Unemployment Rate,Political Stability,2519
513,Bullish,Retail Sales,Political Stability,5132
514,Sideways,Retail Sales,Consumer Confidence,7740
515,Bullish,Unemployment Rate,Interest Rates,9662
516,Bullish,Trade Balance,Exchange Rates,3330
517,Bullish,Retail Sales,Stock Market,6892
518,Bullish,Employment Rate,Interest Rates,6238
519,Bearish,Employment Rate,Interest Rates,7837
520,Bearish,Unemployment Rate,Stock Market,8982
521,Bullish,Unemployment Rate,Interest Rates,2543
522,Bearish,Inflation Rate,Oil Prices,4596
523,Bearish,Unemployment Rate,Political Stability,4503
524,Bearish,Industrial Production,Consumer Confidence,1509
525,Bullish,Retail Sales,Political Stability,4090
526,Bearish,Trade Balance,Interest Rates,4933
527,Bearish,Unemployment Rate,Exchange Rates,1859
528,Bearish,Inflation Rate,Stock Market,1238
529,Sideways,GDP,Consumer Confidence,7667
530,Sideways,Unemployment Rate,Interest Rates,2537
531,Bullish,Trade Balance,Stock Market,7406
532,Sideways,Retail Sales,Consumer Confidence,2647
533,Bearish,Housing Starts,Consumer Confidence,3305
534,Bullish,Unemployment Rate,Exchange Rates,6027
535,Bullish,Consumer Price Index,Interest Rates,9876
536,Bearish,Industrial Production,Stock Market,4800
537,Bullish,Unemployment Rate,Exchange Rates,6777
538,Bearish,Industrial Production,Political Stability,2518
539,Sideways,Retail Sales,Interest Rates,4952
540,Bullish,Housing Starts,Consumer Confidence,4090
541,Bullish,GDP,Interest Rates,1071
542,Sideways,Employment Rate,Interest Rates,1899
543,Bearish,Employment Rate,Stock Market,6499
544,Bullish,Housing Starts,Exchange Rates,3628
545,Bullish,Employment Rate,Consumer Confidence,9053
546,Bearish,Housing Starts,Interest Rates,7942
547,Bearish,Consumer Price Index,Interest Rates,9103
548,Sideways,Employment Rate,Political Stability,1392
549,Sideways,Industrial Production,Interest Rates,4751
550,Bearish,Trade Balance,Consumer Confidence,1912
551,Sideways,Housing Starts,Exchange Rates,5806
552,Sideways,Consumer Price Index,Consumer Confidence,1161
553,Bearish,Trade Balance,Interest Rates,5378
554,Sideways,Retail Sales,Interest Rates,2029
555,Bullish,Unemployment Rate,Consumer Confidence,4062
556,Bearish,Inflation Rate,Oil Prices,4771
557,Sideways,Trade Balance,Political Stability,5419
558,Bearish,Retail Sales,Political Stability,1633
559,Bullish,Trade Balance,Political Stability,1426
560,Bearish,Employment Rate,Oil Prices,2965
561,Bullish,GDP,Political Stability,1064
562,Bearish,Housing Starts,Oil Prices,1379
563,Bearish,Inflation Rate,Exchange Rates,9043
564,Sideways,Industrial Production,Political Stability,5043
565,Bullish,Consumer Price Index,Exchange Rates,9924
566,Sideways,Retail Sales,Stock Market,8010
567,Sideways,GDP,Exchange Rates,4348
568,Bullish,Trade Balance,Political Stability,9001
569,Bullish,Consumer Price Index,Oil Prices,6197
570,Bearish,GDP,Stock Market,3713
571,Sideways,Retail Sales,Stock Market,5126
